ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
002508.SZ,20230103,27.75,28.13,27.0,27.09,27.76,-2.4135,62737.49,170936.104,6.9193,24.67114341882099,25.00898249987151,24.004355758852856,24.084370278049033
002508.SZ,20230104,27.0,28.87,26.9,28.72,27.09,6.017,126149.14,358481.632,6.9193,24.004355758852856,25.666879657706737,23.91545073752377,25.533522125713112
002508.SZ,20230105,28.72,29.96,28.5,29.69,28.72,3.3774,114887.13,340651.036,6.9193,25.533522125713112,26.63594439019376,25.337931078789126,26.395900832605232
002508.SZ,20230106,29.9,31.0,29.61,30.67,29.69,3.3008,140968.59,429523.935,6.9193,26.58260137739631,27.560556612016242,26.324776815541963,27.267170041630262
002508.SZ,20230109,30.67,30.95,30.0,30.52,30.67,-0.4891,106443.14,324807.946,6.9193,27.267170041630262,27.516104101351697,26.671506398725395,27.133812509636634
002508.SZ,20230110,30.64,31.19,30.08,30.99,30.52,1.54,64323.22,198361.86,6.9193,27.240498535231534,27.729476152541505,26.74263041578866,27.55166610988333
002508.SZ,20230111,30.72,31.18,30.67,31.07,30.99,0.2581,59859.72,185586.873,6.9193,27.311622552294804,27.720585650408594,27.267170041630262,27.6227901269466
002508.SZ,20230112,30.99,31.81,30.8,31.34,31.07,0.869,70193.94,220779.823,6.9193,27.55166610988333,28.280687284781823,27.382746569358073,27.86283368453513
002508.SZ,20230113,31.35,32.75,30.86,32.3,31.34,3.0632,94119.36,301108.081,6.9193,27.871724186668036,29.11639448527522,27.43608958215552,28.71632188929434
002508.SZ,20230116,32.16,33.0,31.65,32.3,32.3,0.0,104841.65,339883.201,6.9193,28.59185485943362,29.338657038597933,28.13843925065529,28.71632188929434
002508.SZ,20230117,32.33,32.58,31.87,32.29,32.3,-0.031,64027.41,205893.777,6.9193,28.742993395693066,28.965255949015777,28.33403029757928,28.70743138716143
002508.SZ,20230118,32.3,32.57,31.15,31.3,32.29,-3.066,104680.76,330036.734,6.9193,28.71632188929434,28.95636544688287,27.693914144009867,27.827271676003495
002508.SZ,20230119,31.22,31.29,30.83,31.03,31.3,-0.8626,56729.59,176048.639,6.9193,27.756147658940225,27.818381173870588,27.409418075756793,27.587228118414966
002508.SZ,20230120,31.06,31.19,30.42,30.92,31.03,-0.3545,57173.91,175986.666,6.9193,27.61389962481369,27.729476152541505,27.04490748830755,27.489432594952977
002508.SZ,20230130,31.5,32.12,31.27,31.65,30.92,2.3609,95892.63,304148.902,6.9193,28.00508171866166,28.556292850901986,27.80060016960477,28.13843925065529
002508.SZ,20230131,31.26,31.48,29.78,30.01,31.65,-5.1817,112246.03,339961.165,6.9193,27.79170966747186,27.987300714395847,26.47591535180141,26.6803969008583
