ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
603259.SH,20230103,80.86,82.41,79.41,81.69,81.0,0.8519,181706.91,1477934.229,2.3908,76.20627877641122,77.66707190160832,74.83973036896879,76.98850993377484
603259.SH,20230104,82.3,83.8,82.0,82.6,81.69,1.114,173546.53,1437111.164,2.3908,77.5634027120782,78.97707347839798,77.28066855881426,77.84613686534216
603259.SH,20230105,83.68,89.27,82.71,87.97,82.6,6.5012,427765.99,3706666.512,2.3908,78.86397981709241,84.13225953957742,77.94980605487228,82.90707820876696
603259.SH,20230106,87.41,88.18,86.63,87.57,87.97,-0.4547,247861.39,2167778.475,2.3908,82.3793077893409,83.10499211605173,81.64419899085462,82.53009933774834
603259.SH,20230109,87.65,90.65,87.5,89.39,87.57,2.0783,235511.17,2104339.843,2.3908,82.60549511195208,85.43283664459162,82.46412803532009,84.245353200883
603259.SH,20230110,90.0,90.39,88.6,89.53,89.39,0.1566,148119.55,1327270.681,2.3908,84.82024597918638,85.18780037842951,83.50081993062125,84.37729580573952
603259.SH,20230111,89.46,91.78,89.39,89.56,89.53,0.0335,195200.65,1769103.269,2.3908,84.31132450331125,86.49780195521917,84.245353200883,84.40556922106592
603259.SH,20230112,90.73,92.58,90.3,90.92,89.56,1.5185,200450.08,1830577.052,2.3908,85.50823241879534,87.25175969725639,85.10298013245033,85.68729738252918
603259.SH,20230113,91.1,91.4,89.73,91.0,90.92,0.088,197490.17,1787798.346,2.3908,85.85693787448754,86.1396720277515,84.56578524124882,85.7626931567329
603259.SH,20230116,91.11,99.9,90.9,98.18,91.0,7.8901,501666.42,4857890.331,2.3908,85.866362346263,94.15047303689688,85.66844843897825,92.52946389151687
603259.SH,20230117,98.0,98.7,94.32,95.66,98.18,-2.5667,326386.92,3138842.106,2.3908,92.35982339955851,93.01953642384107,88.89161778618731,90.15449700409965
603259.SH,20230118,95.23,95.5,93.88,94.73,95.66,-0.9722,137317.2,1298767.576,2.3908,89.74924471775466,90.00370545569221,88.47694102806685,89.27802112898141
603259.SH,20230119,94.54,98.8,93.48,97.49,94.73,2.9135,288929.07,2794371.823,2.3908,89.09895616524757,93.11378114159571,88.09996215704825,91.87917533900978
603259.SH,20230120,97.2,99.5,96.6,97.5,97.49,0.0103,159158.16,1563331.932,2.3908,91.60586565752129,93.77349416587828,91.04039735099337,91.88859981078525
603259.SH,20230130,100.0,100.0,96.08,96.34,97.5,-1.1897,213055.43,2076496.37,2.3908,94.24471775465153,94.24471775465153,90.5503248186692,90.7953610848313
603259.SH,20230131,96.6,98.35,93.03,93.25,96.34,-3.2074,235885.29,2226118.54,2.3908,91.04039735099337,92.68967991169978,87.67586092715231,87.88319930621256
603259.SH,20230201,93.35,93.98,92.01,93.88,93.25,0.6756,161939.02,1508277.7,2.3908,87.9774440239672,88.57118574582151,86.71456480605488,88.47694102806685
603259.SH,20230202,94.15,97.43,92.8,95.0,93.88,1.193,205555.23,1965731.585,2.3908,88.73140176600442,91.822628508357,87.45909807631662,89.53248186691896
