trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,24.2704,3.0039,8.6953,1.2749,2268782.3362,2243330.0614
20230104,24.4508,3.0262,8.76,1.0518,2285647.3067,2260005.8326
20230105,24.6692,3.0532,8.8382,1.5312,2306062.7972,2280192.2925
20230106,24.3463,3.0133,8.7225,1.2321,2275883.3764,2250351.4388
20230109,24.6027,3.045,8.8144,1.8787,2299849.387,2274048.5873
20230110,25.0015,3.0944,8.9573,1.7067,2337129.8479,2310910.8183
20230111,24.7072,3.0579,8.8518,1.5948,2309613.3172,2283702.9811
20230112,24.3558,3.0144,8.7259,1.4222,2276771.0064,2251229.1109
20230113,25.0965,3.1061,8.9913,2.3917,2346006.1481,2319687.54
20230116,25.2294,3.1226,9.0389,2.1171,2358432.9685,2331974.9504
20230117,24.8401,3.0744,8.8994,2.0087,2322040.1376,2295990.3915
20230118,24.6882,3.0556,8.845,1.2462,2307838.0572,2281947.6368
20230119,24.8781,3.0791,8.9131,1.0299,2325590.6576,2299501.0802
20230120,24.992,3.0932,8.9539,1.4887,2336242.2179,2310033.1462
20230130,24.992,3.0932,8.9539,2.0897,2336242.2179,2310033.1462
20230131,25.2959,3.1308,9.0627,2.366,2364646.3786,2338118.6556
20230201,25.4193,3.1461,9.107,1.3025,2376185.5689,2349528.3937
20230202,25.7517,3.1872,9.226,1.7643,2407252.6197,2380246.9196
20230203,25.4668,3.1519,9.124,1.2268,2380623.719,2353916.7546
20230206,24.9445,3.0873,8.9369,1.1986,2331804.0678,2305644.7853
20230207,24.7451,3.0626,8.8654,1.2176,2313163.8373,2287213.6698
20230208,24.6027,3.045,8.8144,0.9296,2299849.387,2274048.5873
20230209,24.7736,3.0662,8.8756,0.8458,2315826.7274,2289846.6863
20230210,24.7356,3.0614,8.862,1.0889,2312276.2073,2286335.9976
20230213,25.9131,3.2072,9.2839,3.4948,2422342.33,2395167.3465
20230214,26.046,3.2236,9.3315,2.5435,2434769.1503,2407454.7568
20230215,25.7706,3.1895,9.2328,1.482,2409027.8797,2382002.264
20230216,25.5522,3.1625,9.1546,1.7528,2388612.3892,2361815.8041
20230217,25.4098,3.1449,9.1036,1.8749,2375297.9389,2348650.7216
20230220,25.6757,3.1778,9.1988,1.7735,2400151.5795,2373225.5423
20230221,25.5428,3.1613,9.1512,1.5359,2387724.7592,2360938.1319
20230222,25.8846,3.2037,9.2737,1.6015,2419679.44,2392534.33
20230223,25.5807,3.166,9.1648,1.2379,2391275.2793,2364448.8206
20230224,25.2769,3.1284,9.0559,1.0603,2362871.1186,2336363.3112
20230227,25.2031,2.9209,8.8891,3.8217,2265231.8161,2239819.3727
20230228,25.292,2.9312,8.9205,1.311,2273220.4863,2247718.4222
20230301,25.5389,2.9598,9.0076,1.5293,2295411.2369,2269660.2264
20230302,25.5389,2.9598,9.0076,0.912,2295411.2369,2269660.2264
20230303,25.5883,2.9656,9.025,0.9475,2299849.387,2274048.5873
20230306,25.7759,2.9873,9.0912,1.3139,2316714.3574,2290724.3585
20230307,24.9562,2.8923,8.8021,1.5452,2243041.0656,2217877.5685
20230308,25.0649,2.9049,8.8404,0.7613,2252804.9958,2227531.9624
