trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,7.1138,1.186,2.7497,0.2939,94776179.7686,77523573.1642
20230104,7.3163,1.2198,2.828,0.4055,97474703.2479,79730870.2181
20230105,7.2879,1.215,2.817,0.3001,97096405.5639,79421436.0517
20230106,7.2652,1.2112,2.8083,0.286,96793767.4166,79173888.7185
20230109,7.3447,1.2245,2.839,0.242,97853000.9319,80040304.3845
20230110,7.2406,1.2071,2.7987,0.2627,96465909.4238,78905712.4409
20230111,7.3674,1.2283,2.8478,0.2626,98155639.0791,80287851.7177
20230112,7.392,1.2324,2.8573,0.1475,98483497.0719,80556027.9952
20230113,7.5075,1.2516,2.9019,0.2248,100021907.6536,81814393.6054
20230116,7.3954,1.2367,2.9603,0.4268,102064715.1472,83485338.1042
20230117,7.4337,1.2431,2.9756,0.2094,102594331.9049,83918545.9372
20230118,7.3789,1.234,2.9537,0.1428,101837736.5368,83299677.6043
20230119,7.4282,1.2422,2.9734,0.229,102518672.3681,83856659.1039
20230120,7.5013,1.2544,3.0027,0.2004,103527466.1921,84681816.881
20230130,7.6804,1.2844,3.0744,0.4882,105999011.061,86703453.4351
20230131,7.5306,1.2593,3.0144,0.3114,103930983.7217,85011879.9919
20230201,7.4081,1.2389,2.9654,0.4444,102241254.0665,83629740.7152
20230202,7.3149,1.2233,2.9281,0.3525,100955041.9408,82577664.5493
20230203,7.1815,1.201,2.8747,0.3094,99113993.2119,81071751.606
20230206,7.0079,1.1719,2.8052,0.3544,96718107.8798,79112001.8852
20230207,7.0189,1.1738,2.8096,0.2068,96869426.9534,79235775.5518
20230208,7.0335,1.1762,2.8154,0.1537,97071185.7182,79400807.1072
20230209,7.0335,1.1762,2.8154,0.2415,97071185.7182,79400807.1072
20230210,6.9732,1.1661,2.7913,0.1992,96238930.8134,78720051.9411
20230213,6.8928,1.1527,2.7591,0.4,95129257.607,77812378.3862
20230214,6.944,1.1612,2.7796,0.2356,95835413.2838,78389988.8302
20230215,6.7923,1.1359,2.7189,0.3738,93742166.0989,76677786.4426
20230216,6.8106,1.1389,2.7262,0.3171,93994364.5549,76884075.8869
20230217,6.7083,1.1218,2.6852,0.2791,92582053.2013,75728854.9989
20230220,7.0335,1.1762,2.8154,0.5236,97071185.7182,79400807.1072
20230221,7.0701,1.1823,2.83,0.2571,97575582.6303,79813385.9958
20230222,6.9732,1.1661,2.7913,0.1857,96238930.8134,78720051.9411
20230223,6.9933,1.1695,2.7993,0.1797,96516349.115,78946970.3298
20230224,6.8453,1.1447,2.7401,0.2587,94473541.6213,77276025.831
