ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
300476.SZ,20220429,20220331,0.23,3.1774,21.6091,9.9631,29.2197,10.7656
300476.SZ,20220429,20220331,0.23,3.1774,21.6091,9.9631,29.2197,10.7656
300476.SZ,20220820,20220630,0.53,7.0449,18.364,11.373,18.0227,16.0059
300476.SZ,20220820,20220630,0.53,7.0449,18.364,11.373,18.0227,16.0059
300476.SZ,20221027,20220930,0.74,9.9304,17.2048,10.7232,10.7757,2.8184
300476.SZ,20221027,20220930,0.74,9.9304,17.2048,10.7232,10.7757,2.8184
300476.SZ,20230420,20221231,0.92,11.9735,18.1476,10.027,6.0971,17.9321
300476.SZ,20230420,20221231,0.92,11.9735,18.1476,10.027,6.0971,17.9321
300476.SZ,20230428,20230331,0.14,1.7879,20.1059,7.11,-13.3464,-38.1613
300476.SZ,20230428,20230331,0.14,1.7879,20.1059,7.11,-13.3464,-38.1613
300476.SZ,20230825,20230630,0.4,4.8908,20.961,9.3874,-8.102,-24.1468
300476.SZ,20231025,20230930,0.68,8.1617,22.0361,10.1974,-3.7289,-8.4496
300476.SZ,20240419,20231231,0.78,9.2201,20.6973,8.4646,0.5846,-15.0889
300476.SZ,20240419,20240331,0.24,2.7217,19.4884,8.7645,36.0569,67.7172
300476.SZ,20240817,20240630,0.53,5.8959,20.6053,9.4538,32.2942,33.2305
300476.SZ,20241029,20240930,0.89,9.6007,21.5527,9.9329,34.0185,30.5425
300476.SZ,20250329,20241231,1.34,13.9477,22.7244,10.7574,35.3062,71.9576
300476.SZ,20250422,20250331,1.07,9.7642,33.3747,21.3491,80.3145,339.2238
300476.SZ,20250827,20250630,2.5,21.5569,36.2225,23.7311,85.9956,366.8886
