ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
603259.SH,20220426,20220331,0.56,4.167,35.7912,19.5406,71.1838,9.544
603259.SH,20220426,20220331,0.56,4.167,35.7912,19.5406,71.1838,9.544
603259.SH,20220727,20220630,1.59,11.5071,36.2517,26.3325,68.5205,73.2925
603259.SH,20220727,20220630,1.59,11.5071,36.2517,26.3325,68.5205,73.2925
603259.SH,20221027,20220930,2.52,17.7138,37.1226,26.2255,71.8657,107.1152
603259.SH,20221027,20220930,2.52,17.7138,37.1226,26.2255,71.8657,107.1152
603259.SH,20230321,20221231,3.01,20.7183,37.2955,22.6214,71.837,72.9144
603259.SH,20230321,20221231,3.01,20.7183,37.2955,22.6214,71.837,72.9144
603259.SH,20230425,20230331,0.74,4.5139,39.8925,24.385,5.7741,31.9658
603259.SH,20230425,20230331,0.74,4.5139,39.8925,24.385,5.7741,31.9658
603259.SH,20230801,20230630,1.81,11.0213,40.5156,28.3865,6.2796,14.6119
603259.SH,20230801,20230630,1.81,11.0213,40.5156,28.3865,6.2796,14.6119
603259.SH,20231031,20230930,2.75,16.4528,41.2981,27.5839,4.0387,9.4674
603259.SH,20240319,20231231,3.27,18.89,41.1792,24.0458,2.5055,8.9978
603259.SH,20240430,20240331,0.67,3.507,38.1305,24.5411,-10.9531,-10.4199
603259.SH,20240730,20240630,1.46,7.7203,39.3655,24.8296,-8.6394,-20.2009
603259.SH,20241029,20240930,2.25,11.8462,40.6532,23.8308,-6.2263,-19.1109
603259.SH,20250318,20241231,3.28,16.6152,41.4789,24.3817,-2.7252,-1.6284
603259.SH,20250429,20250331,1.29,6.0711,42.2604,38.4839,20.9556,89.0609
603259.SH,20250429,20250331,1.29,6.0711,42.2604,38.4839,20.9556,89.0609
603259.SH,20250729,20250630,3.01,14.4433,44.4494,41.6377,20.6391,101.9161
