ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
600036.SH,20230103,37.08,37.78,36.53,37.58,37.26,0.8588,606266.16,2255334.391,5.4146,31.767435325390423,32.36714419075648,31.29623550260281,32.195798800651886
600036.SH,20230104,37.78,38.83,37.53,38.65,37.58,2.8473,836454.11,3207024.324,5.4146,32.36714419075648,33.26670748880556,32.152962453125745,33.11249663771143
600036.SH,20230105,38.99,39.27,38.4,38.5,38.65,-0.3881,619085.19,2398823.818,5.4146,33.40378380088923,33.64366734703565,32.89831490008069,32.98398759513299
600036.SH,20230106,38.66,38.93,37.89,38.38,38.5,-0.3117,590006.99,2255711.424,5.4146,33.12106390721665,33.35238018385785,32.461384155314,32.881180361070236
600036.SH,20230109,38.41,39.1,38.41,38.8,38.38,1.0943,499148.86,1937276.819,5.4146,32.90688216958592,33.498023765446746,32.90688216958592,33.24100568028987
600036.SH,20230110,38.78,38.8,38.16,38.25,38.8,-1.4175,541971.59,2078031.131,5.4146,33.22387114127941,33.24100568028987,32.69270043195519,32.769805857502256
600036.SH,20230111,38.38,39.18,38.14,38.92,38.25,1.7516,541706.98,2107076.772,5.4146,32.881180361070236,33.566561921488585,32.67556589294473,33.34381291435262
600036.SH,20230112,39.11,39.15,38.73,39.05,38.92,0.334,304348.71,1185494.431,5.4146,33.50659103495198,33.540860112972894,33.18103479375326,33.4551874179206
600036.SH,20230113,39.07,39.66,38.97,39.66,39.05,1.5621,463767.08,1825772.733,5.4146,33.47232195693106,33.97779085773959,33.386649261878766,33.97779085773959
600036.SH,20230116,40.0,41.14,39.8,40.47,39.66,2.0424,880468.55,3569434.0,5.4146,34.26907802091739,35.24574674451353,34.09773263081281,34.67173968766317
600036.SH,20230117,40.45,40.94,40.28,40.68,40.47,0.5189,432047.05,1752751.493,5.4146,34.65460514865271,35.07440135440895,34.508961567063814,34.85165234727299
600036.SH,20230118,40.65,40.95,40.23,40.38,40.68,-0.7375,294674.72,1191075.289,5.4146,34.8259505387573,35.082968623914184,34.466125219537666,34.59463426211611
600036.SH,20230119,40.2,40.8,39.92,40.65,40.38,0.6686,472490.21,1910434.244,5.4146,34.440423411021975,34.95445958133573,34.20053986487556,34.8259505387573
600036.SH,20230120,40.98,41.1,40.68,41.05,40.65,0.984,413402.73,1692997.05,5.4146,35.10867043242986,35.21147766649262,34.85165234727299,35.16864131896647
600036.SH,20230130,42.55,42.63,41.85,42.03,41.05,2.3873,1007007.4,4255796.7,5.4146,36.45373174475087,36.522269900792715,35.85402287938482,36.00823373047895
600036.SH,20230131,42.35,42.35,41.21,41.21,42.03,-1.951,642311.85,2677248.182,5.4146,36.282386354646285,36.282386354646285,35.30571763105014,35.30571763105014
600036.SH,20230201,41.64,41.69,39.95,40.54,41.21,-1.6258,916791.3,3709963.959,5.4146,35.674110219775,35.71694656730115,34.22624167339124,34.731710574199774
600036.SH,20230202,40.7,40.75,39.55,40.03,40.54,-1.258,727232.93,2898996.931,5.4146,34.868786886283445,34.91162323380959,33.88355089318207,34.29477982943308
600036.SH,20230203,39.79,39.79,39.01,39.3,40.03,-1.8236,638163.64,2506324.574,5.4146,34.08916536130757,34.08916536130757,33.420918339899686,33.66936915555134
600036.SH,20230206,38.72,38.74,37.88,38.35,39.3,-2.4173,731000.66,2790029.317,5.4146,33.172467524248034,33.18960206325849,32.45281688580877,32.85547855255455
600036.SH,20230207,38.5,38.94,38.16,38.41,38.35,0.1565,426570.86,1643882.586,5.4146,32.98398759513299,33.360947453363075,32.69270043195519,32.90688216958592
600036.SH,20230208,38.5,38.92,38.36,38.49,38.41,0.2083,317065.28,1222704.068,5.4146,32.98398759513299,33.34381291435262,32.86404582205978,32.97542032562776
600036.SH,20230209,38.42,38.89,38.32,38.49,38.49,0.0,498174.81,1920854.681,5.4146,32.915449439091155,33.318111105836934,32.82977674403886,32.97542032562776
600036.SH,20230210,38.3,38.39,37.9,38.16,38.49,-0.8574,411026.39,1567982.948,5.4146,32.812642205028396,32.88974763057547,32.46995142481923,32.69270043195519
600036.SH,20230213,37.9,37.98,37.07,37.72,38.16,-1.153,825181.34,3095654.45,5.4146,32.46995142481923,32.53848958086106,31.75886805588519,32.3157405737251
600036.SH,20230214,37.78,38.06,37.51,38.0,37.72,0.7423,486076.63,1836814.072,5.4146,32.36714419075648,32.6070277369029,32.13582791411528,32.55562411987152
600036.SH,20230215,38.0,38.09,37.0,37.17,38.0,-2.1842,771047.78,2872782.991,5.4146,32.55562411987152,32.632729545418584,31.698897169348587,31.844540750937487
600036.SH,20230216,37.2,37.85,37.02,37.27,37.17,0.269,654152.31,2453427.441,5.4146,31.870242559453175,32.42711507729308,31.716031708359047,31.930213445989782
