trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,9.2647,0.8794,0.4085,0.6549,21202783.3656,17714748.629
20230104,9.6916,0.9199,0.4274,1.1188,22179762.9612,18531006.9312
20230105,9.8237,0.9325,0.4332,0.7258,22482161.4074,18783658.3104
20230106,9.7678,0.9271,0.4307,0.7422,22354223.6033,18676767.3423
20230109,9.5442,0.9059,0.4209,0.705,21842472.3865,18249203.4697
20230110,9.5543,0.9069,0.4213,0.4961,21865733.8055,18268638.1912
20230111,9.6509,0.9161,0.4256,0.6888,22086717.2854,18453268.0453
20230112,9.4527,0.8972,0.4168,0.6992,21633119.6161,18074290.9764
20230113,9.5442,0.9059,0.4209,0.4264,21842472.3865,18249203.4697
20230116,9.5035,0.9021,0.4191,0.6882,21749426.7108,18171464.5838
20230117,9.5238,0.904,0.42,0.5469,21795949.5487,18210334.0268
20230118,9.3917,0.8915,0.4141,0.5471,21493551.1024,17957682.6475
20230119,9.4273,0.8948,0.4157,0.6528,21574966.0687,18025704.1727
20230120,9.4425,0.8963,0.4164,0.5188,21609858.1971,18054856.2549
20230130,9.1935,0.8726,0.4054,1.3074,21039953.433,17578705.5787
20230131,9.2952,0.8823,0.4099,0.7092,21272567.6225,17773052.7935
20230201,9.2443,0.8775,0.4076,0.7109,21156260.5277,17675879.1861
20230202,9.2392,0.877,0.4074,0.7278,21144629.8183,17666161.8253
20230203,9.1325,0.8669,0.4027,0.5121,20900384.9194,17462097.2498
20230206,8.7819,0.8336,0.3873,1.2769,20097865.9659,16791599.3587
20230207,8.9242,0.8471,0.3935,1.0367,20423525.8311,17063685.4594
20230208,8.8937,0.8442,0.3922,0.4491,20353741.5743,17005381.295
20230209,8.9801,0.8524,0.396,0.477,20551463.6353,17170576.4276
20230210,8.9801,0.8524,0.396,0.463,20551463.6353,17170576.4276
20230213,8.975,0.8519,0.3958,0.7942,20539832.9258,17160859.0668
20230214,9.0004,0.8543,0.3969,0.5903,20597986.4731,17209445.8705
20230215,8.8124,0.8365,0.3886,0.6774,20167650.2227,16849903.5232
20230216,8.8073,0.836,0.3884,0.7484,20156019.5132,16840186.1624
20230217,8.6853,0.8244,0.383,0.5031,19876882.4859,16606969.5047
20230220,8.9242,0.8471,0.3935,0.8586,20423525.8311,17063685.4594
20230221,8.9597,0.8504,0.3951,0.8299,20504940.7974,17131706.9846
20230222,8.8581,0.8408,0.3906,0.3857,20272326.608,16937359.7698
20230223,8.8784,0.8427,0.3915,0.4147,20318849.4458,16976229.2128
20230224,8.7514,0.8307,0.3859,0.5373,20028081.7091,16733295.1943
20230227,8.731,0.8287,0.385,0.3802,19981558.8712,16694425.7513
20230228,8.7107,0.8268,0.3841,0.756,19935036.0333,16655556.3084
20230301,8.7514,0.8307,0.3859,0.7958,20028081.7091,16733295.1943
20230302,8.5023,0.807,0.3749,1.4987,19458176.945,16257144.518
20230303,8.543,0.8109,0.3767,0.8779,19551222.6208,16334883.4039
20230306,8.36,0.7935,0.3687,1.1261,19132517.0798,15985058.4173
20230307,8.1974,0.7781,0.3615,0.9226,18760334.3767,15674102.8736
20230308,8.1771,0.7762,0.3606,0.8243,18713811.5388,15635233.4307
20230309,8.1923,0.7776,0.3613,0.5678,18748703.6673,15664385.5129
20230310,8.2525,0.7833,0.3639,0.548,18886313.0926,15382582.0514
20230313,8.2577,0.7838,0.3641,0.5251,18898243.8021,15392299.4122
