trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,,1.9943,0.7773,2.9911,2878524.9045,2495385.3702
20230104,,1.9504,0.7602,2.8941,2815188.6206,2440479.3188
20230105,,1.9958,0.7779,4.3416,2880708.9143,2497278.6823
20230106,,2.0412,0.7956,4.6957,2946229.2081,2554078.0458
20230109,,2.1879,0.8528,10.7428,3158078.1578,2737729.3212
20230110,,2.3332,0.9094,13.6613,3367743.0977,2919487.2844
20230111,,2.2137,0.8628,5.9518,3195206.3242,2769915.6272
20230112,,2.197,0.8564,4.6569,3171182.2165,2749089.1939
20230113,,2.1562,0.8404,3.9091,3112213.9522,2697969.7667
20230116,,2.1304,0.8304,5.1984,3075085.7857,2665783.4607
20230117,,2.1289,0.8298,3.3023,3072901.7759,2663890.1486
20230118,,2.1834,0.851,6.4372,3151526.1284,2732049.3848
20230119,,2.1547,0.8398,3.7512,3110029.9424,2696076.4546
20230120,,2.3468,0.9147,9.1076,3387399.1858,2936527.0935
20230130,,2.4527,0.956,11.7934,3540279.8712,3069058.9417
20230131,,2.6161,1.0197,11.6045,3776152.9286,3273536.6503
20230201,,2.6494,1.0327,7.0904,3824201.144,3315189.5169
20230202,,2.6933,1.0498,7.0946,3887537.428,3370095.5683
20230203,,2.6479,1.0321,5.4243,3822017.1343,3313296.2048
20230206,,2.5435,0.9914,5.3042,3671320.4587,3182657.6687
20230207,,2.5526,0.995,3.3498,3684424.5174,3194017.5414
20230208,,2.5133,0.9796,2.4544,3627640.2629,3144791.4263
20230209,,2.545,0.992,3.8103,3673504.4685,3184550.9808
20230210,,2.5072,0.9773,2.8484,3618904.2237,3137218.1779
20230213,,2.5571,0.9967,4.2472,3690976.5468,3199697.4777
20230214,,2.5117,0.979,3.4553,3625456.2531,3142898.1142
20230215,,2.4709,0.9631,3.9622,3566487.9887,3091778.6871
20230216,,2.4104,0.9395,3.8887,3479127.5971,3016046.2024
20230217,,2.4058,0.9377,3.2039,3472575.5677,3010366.266
20230220,,2.4315,0.9478,3.8311,3509703.7341,3042552.572
20230221,,2.6252,1.0233,10.1494,3789256.9874,3284896.523
20230222,,2.5677,1.0009,5.9145,3706264.6153,3212950.6625
20230223,,2.595,1.0115,7.2189,3745576.7916,3247030.2807
20230224,,2.4754,0.9649,5.1755,3573040.0181,3097458.6234
20230227,,2.4573,0.9578,3.3705,3546831.9006,3074738.878
20230228,,2.43,0.9472,3.5022,3507519.7243,3040659.2599
20230301,,2.4406,0.9513,3.261,3522807.7929,3053912.4447
20230302,,2.4043,0.9372,3.4665,3470391.5579,3008472.9539
20230303,,2.3347,0.91,4.1586,3369927.1075,2921380.5965
20230306,,2.3075,0.8994,4.2345,3330614.9313,2887300.9784
20230307,,2.2818,0.8894,3.7591,3293486.7648,2855114.6724
20230308,,2.2772,0.8876,2.3325,3286934.7355,2849434.7361
20230309,,2.2182,0.8646,3.3983,3201758.3536,2775595.5635
20230310,,2.0745,0.8086,6.3887,2994277.4235,2595730.9124
