ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
002371.SZ,20220428,20220331,0.3927,1.2089,44.6441,11.56,50.0419,183.1783
002371.SZ,20220428,20220331,0.3927,1.2089,44.6441,11.56,50.0419,183.1783
002371.SZ,20220830,20220630,1.4332,4.3607,46.3796,16.0641,50.8668,143.1563
002371.SZ,20220830,20220630,1.4332,4.3607,46.3796,16.0641,50.8668,143.1563
002371.SZ,20221031,20220930,3.1994,9.4726,43.978,18.6474,62.1852,156.1318
002371.SZ,20221031,20220930,3.1994,9.4726,43.978,18.6474,62.1852,156.1318
002371.SZ,20230429,20221231,4.4612,12.8411,43.8347,17.2997,51.6822,118.3687
002371.SZ,20230429,20221231,4.4612,12.8411,43.8347,17.2997,51.6822,118.3687
002371.SZ,20230429,20230331,1.1185,2.9487,41.1847,15.8948,81.2553,186.5848
002371.SZ,20230429,20230331,1.1185,2.9487,41.1847,15.8948,81.2553,186.5848
002371.SZ,20230830,20230630,,8.7292,42.3685,22.0508,54.792,138.4279
002371.SZ,20230830,20230630,3.4,8.7292,42.3685,22.0508,54.792,138.4279
002371.SZ,20231031,20230930,5.4478,13.6308,39.8341,20.3899,45.7044,71.0581
002371.SZ,20240430,20231231,7.3623,17.6776,41.1002,18.2646,50.322,65.7256
002371.SZ,20240430,20240331,2.1245,4.5102,43.3972,19.0928,51.3553,90.3974
002371.SZ,20240828,20240630,5.2403,10.8194,45.4968,22.5392,46.3808,54.5436
002371.SZ,20241030,20240930,8.4019,16.7137,44.2215,21.9115,39.5137,54.7221
002371.SZ,20250426,20241231,10.5725,20.2754,42.8543,19.0819,35.1395,44.1674
002371.SZ,20250426,20250331,2.9613,4.9592,43.0157,19.1031,37.9033,38.8025
002371.SZ,20250829,20250630,4.4496,9.8898,42.1684,19.832,29.5097,14.9692
