ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
600418.SH,20220429,20220331,-0.13,-1.9219,6.9295,-3.3987,-16.4283,-253.4538
600418.SH,20220429,20220331,-0.13,-1.9219,6.9295,-3.3987,-16.4283,-253.4538
600418.SH,20220830,20220630,-0.33,-4.7899,7.0651,-4.421,-20.5955,-249.0342
600418.SH,20220830,20220630,-0.33,-4.7899,7.0651,-4.421,-20.5955,-249.0342
600418.SH,20221029,20220930,-0.36,-5.2816,7.5474,-3.0978,-10.3575,-502.2587
600418.SH,20221029,20220930,-0.36,-5.2816,7.5474,-3.0978,-10.3575,-502.2587
600418.SH,20230429,20221231,-0.72,-10.957,8.4237,-4.7328,-9.2478,-891.241
600418.SH,20230429,20221231,-0.72,-10.957,8.4237,-4.7328,-9.2478,-891.241
600418.SH,20230429,20230331,0.07,1.0795,11.5688,1.2513,10.3171,151.0004
600418.SH,20230429,20230331,0.07,1.0795,11.5688,1.2513,10.3171,151.0004
600418.SH,20230826,20230630,0.07,1.1571,11.693,0.5594,25.8661,121.7973
600418.SH,20231028,20230930,0.08,1.369,11.4394,0.2826,23.1556,123.4701
600418.SH,20240430,20231231,0.07,1.1274,11.2903,-0.1596,23.1422,109.5742
600418.SH,20240430,20240331,0.05,0.7927,11.4445,0.5909,4.612,-28.7218
600418.SH,20240828,20240630,0.14,2.2527,11.3028,0.9323,-4.7901,93.8413
600418.SH,20241030,20240930,0.29,4.6349,11.3234,1.4639,-5.057,239.8635
600418.SH,20250329,20241231,-0.82,-14.5093,10.4819,-4.7334,-6.2849,-1277.591
600418.SH,20250430,20250331,-0.1,-1.9778,10.0251,-2.4538,-12.9986,-311.3898
600418.SH,20250430,20250331,-0.1,-1.9778,10.0251,-2.4538,-12.9986,-311.3898
600418.SH,20250826,20250630,-0.35,-7.0418,8.9758,-4.4131,-9.099,-356.8941
