trade_date,universe_count,advance_count,decline_count,flat_count,adv_ratio_1d,adv_ratio_5d,ma20_eligible,above_ma20_count,above_ma20_ratio,ma60_eligible,above_ma60_count,above_ma60_ratio,ret20_eligible,positive_ret20_count,positive_ret20_ratio
20230103,5062,4273,705,84,0.84413275,0.84413275,0,0,0.0,0,0,0.0,0,0,0.0
20230104,5064,2895,1938,231,0.57168246,0.70790761,0,0,0.0,0,0,0.0,0,0,0.0
20230105,5064,3015,1786,263,0.59537915,0.67039812,0,0,0.0,0,0,0.0,0,0,0.0
20230106,5064,1875,2995,194,0.37026066,0.59536376,0,0,0.0,0,0,0.0,0,0,0.0
20230109,5061,2969,1787,305,0.58664296,0.5936196,0,0,0.0,0,0,0.0,0,0,0.0
20230110,5065,1787,3133,145,0.35281343,0.49535573,0,0,0.0,0,0,0.0,0,0,0.0
20230111,5066,1038,3891,137,0.20489538,0.42199831,0,0,0.0,0,0,0.0,0,0,0.0
20230112,5062,2259,2538,265,0.4462663,0.39217574,0,0,0.0,0,0,0.0,0,0,0.0
20230113,5063,2912,1938,213,0.57515307,0.43315423,0,0,0.0,0,0,0.0,0,0,0.0
20230116,5064,3882,1035,147,0.76658768,0.46914317,0,0,0.0,0,0,0.0,0,0,0.0
20230117,5062,1963,2875,224,0.38779139,0.47613876,0,0,0.0,0,0,0.0,0,0,0.0
20230118,5064,3069,1735,260,0.60604265,0.55636822,0,0,0.0,0,0,0.0,0,0,0.0
20230119,5065,3406,1433,226,0.67245805,0.60160657,0,0,0.0,0,0,0.0,0,0,0.0
20230120,5066,3816,1132,118,0.75325701,0.63722735,0,0,0.0,0,0,0.0,0,0,0.0
20230130,5066,3824,1114,128,0.75483616,0.63487705,0,0,0.0,0,0,0.0,0,0,0.0
20230131,5065,2980,1906,179,0.58835143,0.67498906,0,0,0.0,0,0,0.0,0,0,0.0
20230201,5067,4361,610,96,0.86066706,0.72591394,0,0,0.0,0,0,0.0,0,0,0.0
20230202,5071,2316,2571,184,0.45671465,0.68276526,0,0,0.0,0,0,0.0,0,0,0.0
20230203,5068,1902,2997,169,0.37529597,0.60717306,0,0,0.0,0,0,0.0,0,0,0.0
20230206,5070,1838,3013,219,0.36252465,0.52871075,5037,4254,0.84455033,0,0,0.0,0,0,0.0
20230207,5072,3380,1504,188,0.66640379,0.54432123,5044,4276,0.84773989,0,0,0.0,5037,4301,0.85388128
20230208,5072,1384,3539,149,0.27287066,0.42676195,5041,4083,0.80995834,0,0,0.0,5041,4143,0.82186074
20230209,5076,4215,719,142,0.83037825,0.50149467,5043,4333,0.85921079,0,0,0.0,5041,4259,0.84487205
20230210,5077,2192,2643,242,0.43175103,0.51278568,5043,4242,0.84116597,0,0,0.0,5043,4337,0.86000397
20230213,5078,3510,1346,222,0.69121701,0.57852415,5052,4453,0.8814331,0,0,0.0,5043,4426,0.87765219
20230214,5078,2255,2587,236,0.44407247,0.53405789,5052,4405,0.87193191,0,0,0.0,5051,4459,0.88279549
20230215,5079,2168,2750,161,0.42685568,0.56485489,5052,4189,0.82917656,0,0,0.0,5052,4467,0.88420428
20230216,5084,508,4532,44,0.09992132,0.4187635,5053,3008,0.59528993,0,0,0.0,5053,4239,0.83890758
20230217,5086,1894,2968,224,0.37239481,0.40689226,5053,2611,0.51672274,0,0,0.0,5053,4067,0.8048684
20230220,5089,3999,977,113,0.78581254,0.42581136,5064,3259,0.6435624,0,0,0.0,5054,4098,0.8108429
20230221,5090,2940,1927,223,0.57760314,0.4525175,5065,3330,0.65745311,0,0,0.0,5063,4177,0.82500494
20230222,5092,2256,2591,245,0.44304792,0.45575595,5068,3172,0.62588792,0,0,0.0,5065,4144,0.81816387
20230223,5092,1845,3018,229,0.36233307,0.5082383,5067,2867,0.56581804,0,0,0.0,5067,4031,0.79553977
20230224,5091,1767,3093,231,0.34708309,0.50317595,5068,2534,0.5,0,0,0.0,5066,3764,0.7429925
20230227,5091,1057,3916,118,0.20762129,0.3875377,5068,1807,0.35655091,0,0,0.0,5067,3152,0.62206434
20230228,5093,3824,1133,136,0.75083448,0.42218397,5070,2351,0.46370809,0,0,0.0,5069,3250,0.6411521
20230301,5095,3479,1392,224,0.6828263,0.47013965,5070,2931,0.57810651,0,0,0.0,5069,3048,0.60130203
20230302,5097,1711,3183,203,0.33568766,0.46481056,5072,2700,0.53233438,0,0,0.0,5072,2877,0.56723186
20230303,5098,2225,2649,224,0.43644566,0.48268308,5072,2607,0.51399842,0,0,0.0,5071,2942,0.5801617
20230306,5099,2317,2588,194,0.45440282,0.53203939,5072,2512,0.49526814,0,0,0.0,5072,3003,0.59207413
20230307,5100,445,4604,51,0.0872549,0.39932347,5074,1411,0.27808435,0,0,0.0,5072,1982,0.39077287
20230308,5101,3569,1342,190,0.69966673,0.40269156,5076,1705,0.33589441,0,0,0.0,5073,2461,0.48511729
20230309,5102,2357,2547,198,0.4619757,0.42794916,5076,1907,0.37568952,0,0,0.0,5075,2164,0.42640394
20230310,5104,746,4294,64,0.14615987,0.36989201,5076,1392,0.27423168,0,0,0.0,5076,1686,0.3321513
20230313,5109,2342,2584,183,0.45840673,0.37069279,5080,1503,0.29586614,0,0,0.0,5079,1505,0.29631817
20230314,5111,963,4076,72,0.18841714,0.39092524,5081,1216,0.23932297,0,0,0.0,5081,1274,0.25073804
20230315,5114,3570,1417,127,0.69808369,0.39060863,5085,1538,0.30245821,0,0,0.0,5081,1371,0.26982877
20230316,5114,687,4355,72,0.13433711,0.32508091,5086,1105,0.21726308,0,0,0.0,5084,1532,0.30133753
20230317,5115,3220,1697,198,0.62952102,0.42175314,5086,1388,0.27290602,0,0,0.0,5085,1818,0.35752212
20230320,5115,1893,3113,109,0.37008798,0.40408939,5086,1294,0.25442391,0,0,0.0,5084,1503,0.29563336
20230321,5118,4173,815,130,0.81535756,0.52947747,5089,1733,0.34053842,0,0,0.0,5087,1691,0.33241596
20230322,5117,3121,1777,219,0.60992769,0.51184627,5089,2070,0.40675968,0,0,0.0,5088,1836,0.36084906
20230323,5120,2040,2851,229,0.3984375,0.56466635,5091,2115,0.41543901,0,0,0.0,5091,1852,0.36377922
20230324,5121,2385,2536,200,0.46572935,0.53190802,5093,2183,0.42862753,0,0,0.0,5092,1954,0.3837392
20230327,5123,1986,2999,138,0.38766348,0.53542312,5094,2135,0.41912053,0,0,0.0,5093,2081,0.40860004
20230328,5124,1399,3591,134,0.27302888,0.42695738,5098,1929,0.37838368,0,0,0.0,5094,1722,0.33804476
20230329,5127,1582,3410,135,0.30856251,0.36668434,5098,1791,0.35131424,0,0,0.0,5098,1453,0.28501373
20230330,5127,1933,3037,157,0.3770236,0.36240156,5099,1677,0.32888802,0,0,0.0,5097,1413,0.2772219
20230331,5127,3512,1419,196,0.68500098,0.40625589,5099,2074,0.40674642,0,0,0.0,5098,1592,0.31227933
20230403,5129,3355,1591,183,0.65412361,0.45954792,5100,2443,0.47901961,5011,2347,0.46836959,5099,1702,0.33379094
20230404,5134,1370,3628,136,0.26684846,0.45831183,5103,2076,0.40681952,5023,2125,0.42305395,5101,1994,0.39090374
20230406,5134,2040,2967,127,0.39735099,0.47606953,5104,1994,0.39067398,5025,2066,0.41114428,5102,1790,0.35084281
20230407,5133,3477,1459,197,0.67738165,0.53614114,5104,2422,0.47452978,5026,2242,0.44608038,5102,1945,0.38122305
20230410,5143,1296,3743,104,0.251993,0.44953954,5106,2030,0.39757148,5028,2042,0.4061257,5104,2036,0.39890282
20230411,5144,2348,2600,196,0.45645412,0.41000564,5108,2053,0.40191856,5043,2035,0.40352965,5107,1990,0.38966125
20230412,5143,3163,1805,175,0.61501069,0.47963809,5110,2327,0.4553816,5044,2123,0.42089611,5107,2427,0.47523008
20230413,5145,1872,3090,183,0.3638484,0.47293757,5112,2165,0.4235133,5047,2058,0.40776699,5111,2102,0.41126981
20230414,5143,2737,2183,223,0.53217966,0.44389717,5112,2292,0.44835681,5046,2080,0.41220769,5110,2604,0.50958904
20230417,5145,2761,2196,188,0.53663751,0.50082608,5114,2347,0.45893625,5046,2135,0.42310741,5112,2562,0.50117371
20230418,5152,1498,3510,144,0.29076087,0.46768743,5118,2078,0.40601798,5060,1986,0.39249012,5116,2548,0.49804535
20230419,5152,1604,3378,170,0.3113354,0.40695237,5116,1870,0.36551994,5060,1877,0.37094862,5116,2017,0.39425332
20230420,5155,1615,3426,114,0.31328807,0.3968403,5119,1717,0.33541707,5065,1773,0.35004936,5118,1779,0.34759672
20230421,5154,582,4524,48,0.112922,0.31298877,5117,1141,0.22298222,5063,1330,0.2626901,5117,1320,0.25796365
20230424,5155,2047,2941,167,0.3970902,0.28507931,5116,1058,0.20680219,5063,1257,0.24827178,5115,1265,0.24731183
20230425,5156,851,4231,74,0.16505043,0.25993722,5116,858,0.16770915,5063,1047,0.20679439,5115,1100,0.21505376
20230426,5148,3503,1556,89,0.68045843,0.33376183,5111,1013,0.19819996,5056,1084,0.21439873,5108,1248,0.24432263
20230427,5144,2611,2340,193,0.50758165,0.37262054,5108,1145,0.22415818,5053,1138,0.22521274,5107,1392,0.27256706
