ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
000002.SZ,20230103,18.1,18.5,17.88,18.23,18.2,0.1648,636399.63,1158945.281,172.8236,17.21540065160921,17.595851494738696,17.006152687887994,17.33904717562629
000002.SZ,20230104,18.25,19.28,18.07,19.07,18.23,4.6078,1087146.91,2060317.406,172.8236,17.358069717782765,18.337730638841194,17.1868668383745,18.13799394619821
000002.SZ,20230105,19.0,19.48,18.9,19.33,19.07,1.3634,705245.23,1357011.735,172.8236,18.07141504865055,18.527956060405934,17.97630233786818,18.385286994232377
000002.SZ,20230106,19.61,19.69,19.0,19.22,19.33,-0.5691,721239.76,1391208.648,172.8236,18.651602584423017,18.727692753048917,18.07141504865055,18.280663012371768
000002.SZ,20230109,19.29,19.35,18.68,18.78,19.22,-2.2893,685065.76,1292008.008,172.8236,18.347241909919425,18.40430953638885,17.767054374146962,17.862167084929336
000002.SZ,20230110,18.78,18.97,18.65,18.8,18.78,0.1065,482080.09,906180.275,172.8236,17.862167084929336,18.04288123541584,17.738520560912253,17.88118962708581
000002.SZ,20230111,18.82,19.31,18.8,18.99,18.8,1.0106,669312.89,1273464.59,172.8236,17.900212169242284,18.366264452075903,17.88118962708581,18.06190377757231
000002.SZ,20230112,18.85,18.88,18.31,18.6,18.99,-2.0537,679412.98,1260184.289,172.8236,17.928745982476997,17.957279795711706,17.415137344252187,17.69096420552107
000002.SZ,20230113,18.45,18.78,18.45,18.78,18.6,0.9677,414361.77,771628.015,172.8236,17.54829513934751,17.862167084929336,17.54829513934751,17.862167084929336
000002.SZ,20230116,18.78,18.9,18.46,18.7,18.78,-0.426,668752.61,1248278.214,172.8236,17.862167084929336,17.97630233786818,17.557806410425748,17.786076916303436
000002.SZ,20230117,18.73,18.85,18.36,18.74,18.7,0.2139,531441.58,988946.55,172.8236,17.81461072953815,17.928745982476997,17.462693699643374,17.824122000616384
000002.SZ,20230118,18.75,18.95,18.44,18.48,18.74,-1.3874,531589.34,987395.603,172.8236,17.833633271694623,18.023858693259367,17.538783868269274,17.576828952582222
000002.SZ,20230119,18.44,18.55,18.1,18.55,18.48,0.3788,634378.98,1161720.123,172.8236,17.538783868269274,17.643407850129883,17.21540065160921,17.643407850129883
000002.SZ,20230120,18.49,18.65,18.35,18.58,18.55,0.1617,504114.09,933806.302,172.8236,17.586340223660457,17.738520560912253,17.45318242856514,17.67194166336459
000002.SZ,20230130,18.88,19.0,18.0,18.09,18.58,-2.6372,1270473.51,2315151.336,172.8236,17.957279795711706,18.07141504865055,17.120287940826838,17.205889380530973
000002.SZ,20230131,18.08,18.35,17.95,18.29,18.09,1.1056,689203.41,1255458.743,172.8236,17.196378109452734,17.45318242856514,17.07273158543565,17.396114802095717
000002.SZ,20230201,18.2,18.28,17.9,18.19,18.29,-0.5467,690810.89,1246611.679,172.8236,17.31051336239158,17.386603531017478,17.025175230044464,17.301002091313347
000002.SZ,20230202,18.18,18.38,17.93,18.18,18.19,-0.055,707210.89,1283125.789,172.8236,17.291490820235108,17.481716241799848,17.053709043279177,17.291490820235108
000002.SZ,20230203,18.12,18.12,17.88,17.97,18.18,-1.1551,497584.37,893421.833,172.8236,17.234423193765686,17.234423193765686,17.006152687887994,17.091754127592125
000002.SZ,20230206,17.75,17.76,17.2,17.28,17.97,-3.8397,1240827.14,2153492.511,172.8236,16.88250616387091,16.89201743494915,16.35938625456787,16.435476423193766
000002.SZ,20230207,17.28,17.8,17.22,17.56,17.28,1.6204,1007424.54,1769210.774,172.8236,16.435476423193766,16.930062519262098,16.37840879672434,16.701792013384402
000002.SZ,20230208,17.54,17.84,17.47,17.5,17.56,-0.3417,436367.36,768911.654,172.8236,16.682769471227928,16.968107603575046,16.61619057368027,16.644724386914984
000002.SZ,20230209,17.49,17.83,17.41,17.67,17.5,0.9714,463508.35,819148.07,172.8236,16.63521311583674,16.958596332496807,16.559122947210845,16.806415995245015
000002.SZ,20230210,17.64,17.9,17.5,17.67,17.67,0.0,449961.07,795674.133,172.8236,16.777882182010302,17.025175230044464,16.644724386914984,16.806415995245015
000002.SZ,20230213,17.35,17.75,17.17,17.66,17.67,-0.0566,771729.86,1351370.296,172.8236,16.502055320741427,16.88250616387091,16.330852441333157,16.796904724166776
000002.SZ,20230214,17.68,17.9,17.57,17.71,17.66,0.2831,573618.07,1016643.12,172.8236,16.81592726632325,17.025175230044464,16.71130328446264,16.844461079557963
000002.SZ,20230215,17.6,17.63,17.27,17.34,17.71,-2.0892,658286.12,1142728.844,172.8236,16.739837097697354,16.768370910932063,16.425965152115527,16.492544049663188
000002.SZ,20230216,17.35,17.68,17.18,17.33,17.34,-0.0577,727256.27,1270775.881,172.8236,16.502055320741427,16.81592726632325,16.340363712411396,16.48303277858495
000002.SZ,20230217,17.28,17.39,17.08,17.09,17.33,-1.3849,488838.02,842010.133,172.8236,16.435476423193766,16.540100405054375,16.24525100162902,16.25476227270726
000002.SZ,20230220,17.08,17.66,17.08,17.56,17.09,2.7501,834305.6,1451116.357,172.8236,16.24525100162902,16.796904724166776,16.24525100162902,16.701792013384402
000002.SZ,20230221,17.88,17.97,17.53,17.63,17.56,0.3986,806482.42,1428804.708,172.8236,17.006152687887994,17.091754127592125,16.673258200149693,16.768370910932063
000002.SZ,20230222,17.41,17.53,17.4,17.43,17.63,-1.1344,374754.2,653483.958,172.8236,16.559122947210845,16.673258200149693,16.54961167613261,16.578145489367323
000002.SZ,20230223,17.46,17.64,17.4,17.47,17.43,0.2295,402953.86,705286.111,172.8236,16.606679302602036,16.777882182010302,16.54961167613261,16.61619057368027
000002.SZ,20230224,17.51,17.54,17.13,17.22,17.47,-1.431,522141.88,901030.906,172.8236,16.654235657993222,16.682769471227928,16.292807357020205,16.37840879672434
000002.SZ,20230227,17.23,17.4,17.16,17.18,17.22,-0.2323,369424.1,637672.052,172.8236,16.38792006780258,16.54961167613261,16.321341170254918,16.340363712411396
