ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
601919.SH,20230103,10.29,10.3,10.11,10.28,10.29,-0.0972,524153.35,534331.246,1.7035,7.606428726404859,7.613820785419831,7.473371664135387,7.599036667389888
601919.SH,20230104,10.22,10.26,10.18,10.23,10.28,-0.4864,450515.68,460129.523,1.7035,7.554684313300066,7.584252549359949,7.525116077240182,7.562076372315037
601919.SH,20230105,10.26,10.28,10.2,10.23,10.23,0.0,475902.42,487202.32,1.7035,7.584252549359949,7.599036667389888,7.539900195270123,7.562076372315037
601919.SH,20230106,10.26,10.34,10.23,10.26,10.23,0.2933,499929.09,513293.537,1.7035,7.584252549359949,7.643389021479714,7.562076372315037,7.584252549359949
601919.SH,20230109,10.23,10.26,10.15,10.23,10.26,-0.2924,556337.74,567871.833,1.7035,7.562076372315037,7.584252549359949,7.502939900195271,7.562076372315037
601919.SH,20230110,10.25,10.26,10.16,10.19,10.23,-0.391,414921.89,422744.53,1.7035,7.576860490344978,7.584252549359949,7.51033195921024,7.532508136255152
601919.SH,20230111,10.19,10.28,10.14,10.15,10.19,-0.3925,499794.0,510180.413,1.7035,7.532508136255152,7.599036667389888,7.495547841180301,7.502939900195271
601919.SH,20230112,10.17,10.19,9.98,10.06,10.15,-0.8867,673756.33,676701.742,1.7035,7.517724018225211,7.532508136255152,7.377274896940769,7.436411369060534
601919.SH,20230113,10.04,10.14,10.04,10.13,10.06,0.6958,483324.44,488024.532,1.7035,7.421627251030592,7.495547841180301,7.421627251030592,7.48815578216533
601919.SH,20230116,10.09,10.27,10.04,10.2,10.13,0.691,708999.2,722370.789,1.7035,7.458587546105446,7.591644608374918,7.421627251030592,7.539900195270123
601919.SH,20230117,10.21,10.28,10.18,10.27,10.2,0.6863,540744.96,553983.468,1.7035,7.547292254285095,7.599036667389888,7.525116077240182,7.591644608374918
601919.SH,20230118,10.24,10.3,10.22,10.26,10.27,-0.0974,370697.64,380418.39,1.7035,7.569468431330007,7.613820785419831,7.554684313300066,7.584252549359949
601919.SH,20230119,10.24,10.28,10.18,10.27,10.26,0.0975,448745.49,458730.615,1.7035,7.569468431330007,7.599036667389888,7.525116077240182,7.591644608374918
601919.SH,20230120,10.27,10.43,10.26,10.42,10.27,1.4606,701481.67,727222.824,1.7035,7.591644608374918,7.70991755261445,7.584252549359949,7.702525493599479
601919.SH,20230130,10.5,10.53,10.38,10.42,10.42,0.0,909869.34,949268.57,1.7035,7.761661965719244,7.783838142764156,7.672957257539597,7.702525493599479
601919.SH,20230131,10.41,10.68,10.37,10.63,10.42,2.0154,1018840.64,1075580.878,1.7035,7.695133434584509,7.894719027988718,7.665565198524626,7.857758732913865
601919.SH,20230201,10.64,10.89,10.64,10.84,10.63,1.9755,1052367.83,1135392.681,1.7035,7.865150791928835,8.049952267303102,7.865150791928835,8.01299197222825
601919.SH,20230202,10.93,10.93,10.77,10.83,10.84,-0.0923,716658.09,776726.68,1.7035,8.079520503362986,8.079520503362986,7.961247559123454,8.005599913213278
601919.SH,20230203,10.85,10.86,10.55,10.65,10.83,-1.662,851048.21,906985.127,1.7035,8.02038403124322,8.02777609025819,7.798622260794099,7.872542850943806
601919.SH,20230206,10.59,10.72,10.52,10.68,10.65,0.2817,534944.99,569058.453,1.7035,7.82819049685398,7.924287264048601,7.776446083749186,7.894719027988718
601919.SH,20230207,10.68,10.74,10.6,10.7,10.68,0.1873,483415.61,516733.896,1.7035,7.894719027988718,7.939071382078542,7.835582555868951,7.9095031460186584
601919.SH,20230208,10.69,10.84,10.68,10.78,10.7,0.7477,596907.82,643044.592,1.7035,7.9021110870036875,8.01299197222825,7.894719027988718,7.968639618138425
601919.SH,20230209,10.78,10.93,10.74,10.91,10.78,1.2059,693763.49,754577.263,1.7035,7.968639618138425,8.079520503362986,7.939071382078542,8.064736385333044
601919.SH,20230210,10.91,10.91,10.76,10.83,10.91,-0.7333,569493.14,616660.163,1.7035,8.064736385333044,8.064736385333044,7.953855500108483,8.005599913213278
601919.SH,20230213,10.82,10.83,10.72,10.77,10.83,-0.554,544897.21,586087.124,1.7035,7.9982078541983075,8.005599913213278,7.924287264048601,7.961247559123454
601919.SH,20230214,10.78,10.84,10.75,10.79,10.77,0.1857,387373.27,417763.686,1.7035,7.968639618138425,8.01299197222825,7.946463441093513,7.9760316771533954
601919.SH,20230215,10.77,10.78,10.66,10.7,10.79,-0.8341,557519.39,596554.081,1.7035,7.961247559123454,7.968639618138425,7.879934909958777,7.9095031460186584
601919.SH,20230216,10.71,10.84,10.53,10.62,10.7,-0.7477,796676.83,854678.135,1.7035,7.91689520503363,8.01299197222825,7.783838142764156,7.850366673898892
601919.SH,20230217,10.56,10.72,10.56,10.57,10.62,-0.4708,536766.78,570736.66,1.7035,7.80601431980907,7.924287264048601,7.80601431980907,7.813406378824041
601919.SH,20230220,10.56,10.71,10.46,10.66,10.57,0.8515,722494.33,763573.824,1.7035,7.80601431980907,7.91689520503363,7.732093729659364,7.879934909958777
601919.SH,20230221,10.67,10.92,10.64,10.86,10.66,1.8762,924929.62,1001133.678,1.7035,7.887326968973747,8.072128444348014,7.865150791928835,8.02777609025819
601919.SH,20230222,10.8,10.9,10.76,10.84,10.86,-0.1842,537857.73,582268.874,1.7035,7.983423736168366,8.057344326318074,7.953855500108483,8.01299197222825
601919.SH,20230223,10.84,10.87,10.76,10.77,10.84,-0.6458,542421.2,585806.983,1.7035,8.01299197222825,8.035168149273161,7.953855500108483,7.961247559123454
601919.SH,20230224,10.8,10.82,10.69,10.72,10.77,-0.4643,503534.15,541086.207,1.7035,7.983423736168366,7.9982078541983075,7.9021110870036875,7.924287264048601
601919.SH,20230227,10.69,10.8,10.64,10.68,10.72,-0.3731,492862.88,527887.42,1.7035,7.9021110870036875,7.983423736168366,7.865150791928835,7.894719027988718
601919.SH,20230228,10.71,10.79,10.66,10.78,10.68,0.9363,519960.24,557429.719,1.7035,7.91689520503363,7.9760316771533954,7.879934909958777,7.968639618138425
601919.SH,20230301,10.75,10.85,10.72,10.85,10.78,0.6494,652041.29,705760.733,1.7035,7.946463441093513,8.02038403124322,7.924287264048601,8.02038403124322
601919.SH,20230302,10.86,11.25,10.84,11.17,10.85,2.9493,1723968.32,1914835.077,1.7035,8.02777609025819,8.316066391842048,8.01299197222825,8.256929919722282
601919.SH,20230303,11.17,11.31,11.1,11.28,11.17,0.9848,1283743.28,1441818.242,1.7035,8.256929919722282,8.360418745931874,8.205185506617488,8.33824256888696
601919.SH,20230306,11.33,11.37,11.15,11.26,11.28,-0.1773,928210.4,1043247.756,1.7035,8.375202863961814,8.404771100021696,8.242145801692342,8.323458450857018
601919.SH,20230307,11.25,11.56,11.17,11.26,11.26,0.0,1625531.47,1851713.798,1.7035,8.316066391842048,8.54522022130614,8.256929919722282,8.323458450857018
601919.SH,20230308,11.19,11.2,11.06,11.15,11.26,-0.9769,819303.06,911901.591,1.7035,8.271714037752224,8.279106096767194,8.175617270557606,8.242145801692342
601919.SH,20230309,11.13,11.27,11.13,11.19,11.15,0.3587,563386.51,630407.674,1.7035,8.2273616836624,8.33085050987199,8.2273616836624,8.271714037752224
601919.SH,20230310,11.17,11.18,10.95,10.95,11.19,-2.1448,717873.47,791779.28,1.7035,8.256929919722282,8.264321978737254,8.094304621392926,8.094304621392926
601919.SH,20230313,10.91,11.11,10.91,11.01,10.95,0.5479,601901.57,661923.178,1.7035,8.064736385333044,8.21257756563246,8.064736385333044,8.13865697548275
601919.SH,20230314,11.04,11.06,10.72,10.79,11.01,-1.9982,753954.57,818275.887,1.7035,8.160833152527662,8.175617270557606,7.924287264048601,7.9760316771533954
601919.SH,20230315,10.89,11.38,10.88,11.3,10.79,4.7266,1386230.37,1554259.816,1.7035,8.049952267303102,8.412163159036668,8.042560208288133,8.353026686916904
601919.SH,20230316,11.27,11.31,11.09,11.09,11.3,-1.8584,837619.79,936169.493,1.7035,8.33085050987199,8.360418745931874,8.197793447602518,8.197793447602518
601919.SH,20230317,11.18,11.27,11.08,11.11,11.09,0.1803,1222008.54,1362858.276,1.7035,8.264321978737254,8.33085050987199,8.190401388587548,8.21257756563246
601919.SH,20230320,11.2,11.38,11.08,11.09,11.11,-0.18,1023491.44,1147816.633,1.7035,8.279106096767194,8.412163159036668,8.190401388587548,8.197793447602518
601919.SH,20230321,11.15,11.2,11.0,11.06,11.09,-0.2705,642238.75,710299.876,1.7035,8.242145801692342,8.279106096767194,8.131264916467781,8.175617270557606
601919.SH,20230322,11.1,11.14,11.02,11.1,11.06,0.3617,506989.69,561142.918,1.7035,8.205185506617488,8.23475374267737,8.146049034497722,8.205185506617488
601919.SH,20230323,11.09,11.5,11.03,11.44,11.1,3.0631,1754631.57,1995744.848,1.7035,8.197793447602518,8.500867867216316,8.153441093512692,8.45651551312649
601919.SH,20230324,11.41,11.43,11.31,11.35,11.44,-0.7867,652431.37,741258.229,1.7035,8.43433933608158,8.44912345411152,8.360418745931874,8.389986981991754
601919.SH,20230327,11.36,11.39,11.19,11.3,11.35,-0.4405,656392.29,740095.602,1.7035,8.397379041006726,8.41955521805164,8.271714037752224,8.353026686916904
601919.SH,20230328,11.31,11.4,11.23,11.25,11.3,-0.4425,577578.36,652416.014,1.7035,8.360418745931874,8.42694727706661,8.301282273812106,8.316066391842048
601919.SH,20230329,11.29,11.32,11.16,11.22,11.25,-0.2667,508642.54,570951.296,1.7035,8.34563462790193,8.367810804946842,8.249537860707312,8.293890214797136
601919.SH,20230330,11.2,11.43,11.1,11.43,11.22,1.8717,1033888.94,1167152.401,1.7035,8.279106096767194,8.44912345411152,8.205185506617488,8.44912345411152
601919.SH,20230331,11.52,11.52,11.0,11.03,11.43,-3.4996,2174459.94,2416025.144,1.7035,8.515651985246258,8.515651985246258,8.131264916467781,8.153441093512692
601919.SH,20230403,11.0,11.0,10.67,10.79,11.03,-2.1759,1500772.32,1617081.404,1.7035,8.131264916467781,8.131264916467781,7.887326968973747,7.9760316771533954
601919.SH,20230404,10.73,10.86,10.7,10.84,10.79,0.4634,774369.97,836389.153,1.7035,7.931679323063571,8.02777609025819,7.9095031460186584,8.01299197222825
601919.SH,20230406,10.84,10.86,10.74,10.77,10.84,-0.6458,518612.04,558673.251,1.7035,8.01299197222825,8.02777609025819,7.939071382078542,7.961247559123454
601919.SH,20230407,10.77,10.82,10.75,10.82,10.77,0.4643,499815.47,538812.577,1.7035,7.961247559123454,7.9982078541983075,7.946463441093513,7.9982078541983075
601919.SH,20230410,10.83,10.89,10.79,10.88,10.82,0.5545,545341.67,591543.486,1.7035,8.005599913213278,8.049952267303102,7.9760316771533954,8.042560208288133
601919.SH,20230411,10.72,10.8,10.66,10.73,10.88,-1.3787,824465.61,883098.695,1.7035,7.924287264048601,7.983423736168366,7.879934909958777,7.931679323063571
601919.SH,20230412,10.77,10.98,10.75,10.96,10.73,2.1435,1067951.45,1163896.691,1.7035,7.961247559123454,8.11648079843784,7.946463441093513,8.1016966804079
601919.SH,20230413,10.89,11.23,10.86,11.09,10.96,1.1861,1108147.93,1224649.716,1.7035,8.049952267303102,8.301282273812106,8.02777609025819,8.197793447602518
601919.SH,20230414,11.15,11.2,11.08,11.09,11.09,0.0,746415.77,830307.376,1.7035,8.242145801692342,8.279106096767194,8.190401388587548,8.197793447602518
601919.SH,20230417,11.17,11.5,11.15,11.44,11.09,3.156,1951206.56,2225512.518,1.7035,8.256929919722282,8.500867867216316,8.242145801692342,8.45651551312649
601919.SH,20230418,11.45,11.64,11.42,11.6,11.44,1.3986,1476641.77,1704557.746,1.7035,8.463907572141462,8.604356693425906,8.441731395096552,8.574788457366022
601919.SH,20230419,11.59,11.73,11.48,11.52,11.6,-0.6897,1170892.86,1357542.494,1.7035,8.567396398351052,8.670885224560644,8.486083749186376,8.515651985246258
601919.SH,20230420,11.54,11.65,11.44,11.64,11.52,1.0417,881042.75,1018746.423,1.7035,8.530436103276198,8.611748752440876,8.45651551312649,8.604356693425906
601919.SH,20230421,11.64,11.66,11.35,11.37,11.64,-2.3196,838366.29,963922.012,1.7035,8.604356693425906,8.619140811455846,8.389986981991754,8.404771100021696
601919.SH,20230424,11.45,11.53,11.28,11.35,11.37,-0.1759,661027.14,753522.207,1.7035,8.463907572141462,8.523044044261228,8.33824256888696,8.389986981991754
601919.SH,20230425,11.29,11.4,11.11,11.26,11.35,-0.793,701909.07,788505.331,1.7035,8.34563462790193,8.42694727706661,8.21257756563246,8.323458450857018
