trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,43.7492,7.1935,7.5899,0.3435,3744395.1444,3390051.1419
20230104,45.7539,7.5232,7.9377,0.7408,3915971.2022,3545390.4125
20230105,45.7932,7.5296,7.9445,0.4756,3919335.4386,3548436.2806
20230106,45.7932,7.5296,7.9445,0.4788,3919335.4386,3548436.2806
20230109,45.1053,7.4165,7.8251,0.5242,3860461.3011,3495133.5897
20230110,44.9677,7.3939,7.8013,0.3177,3848686.4736,3484473.0515
20230111,44.6533,7.3422,7.7467,0.3369,3821772.5822,3460106.1071
20230112,44.7712,7.3616,7.7672,0.2491,3831865.2915,3469243.7112
20230113,45.1839,7.4294,7.8388,0.3905,3867189.774,3501225.3258
20230116,46.4811,7.6427,8.0638,0.6162,3978209.5761,3601738.9715
20230117,46.3042,7.6136,8.0331,0.4046,3963070.5122,3588032.5653
20230118,45.6949,7.5135,7.9274,0.2971,3910924.8476,3540821.6105
20230119,45.6556,7.507,7.9206,0.2445,3907560.6111,3537775.7424
20230120,45.4984,7.4811,7.8933,0.4206,3894103.6654,3525592.2702
20230130,46.599,7.6621,8.0843,0.6117,3988302.2854,3610876.5756
20230131,46.6383,7.6686,8.0911,0.3267,3991666.5218,3613922.4437
20230201,46.1076,7.5813,7.999,0.3874,3946249.33,3572803.225
20230202,45.8325,7.5361,7.9513,0.3338,3922699.675,3551482.1486
20230203,45.9701,7.5587,7.9752,0.2284,3934474.5025,3562142.6868
20230206,44.1816,7.2646,7.6649,0.6289,3781401.7451,3423555.6904
20230207,44.8105,7.368,7.774,0.3745,3835229.5279,3472289.5793
20230208,44.2495,7.2758,7.6767,0.2575,3787213.4397,3428889.8325
20230209,45.2717,7.4439,7.854,0.2696,3874701.2668,3508100.0819
20230210,44.6819,7.3469,7.7517,0.3583,3824227.5204,3462401.8611
20230213,45.1144,7.418,7.8267,0.5647,3861241.6011,3495913.8897
20230214,44.3674,7.2952,7.6971,0.3777,3797308.189,3438029.4767
20230215,43.8367,7.2079,7.605,0.7004,3751881.8172,3396901.078
20230216,43.4435,7.1433,7.5368,0.7667,3718232.6529,3366435.5975
20230217,42.7948,7.0366,7.4243,0.2958,3662711.5319,3316167.5546
20230220,42.9521,7.0625,7.4516,0.4559,3676171.1976,3328353.7468
20230221,43.07,7.0819,7.472,0.3809,3686265.9469,3337493.391
20230222,43.07,7.0819,7.472,0.3634,3686265.9469,3337493.391
20230223,43.6008,7.1691,7.5641,0.3951,3731692.3187,3378621.7897
20230224,43.758,7.195,7.5914,0.2824,3745151.9844,3390807.9819
20230227,43.5615,7.1627,7.5573,0.3106,3728327.4022,3375575.2416
20230228,41.7476,6.8821,7.3422,0.3707,3767023.9411,3410610.5442
20230301,41.7849,6.8882,7.3488,0.3991,3770388.8576,3413657.0923
20230302,41.2815,6.8052,7.2602,0.2061,3724962.4858,3372528.6936
20230303,41.4866,6.8391,7.2963,0.3225,3743469.5262,3389284.7079
20230306,41.3001,6.8083,7.2635,0.4347,3726644.944,3374051.9676
20230307,40.7408,6.7161,7.1651,0.3971,3676171.1976,3328353.7468
20230308,39.8085,6.5624,7.0012,0.5753,3592048.2869,3252190.0455
20230309,40.3679,6.6546,7.0996,0.3382,3642522.0333,3297888.2663
20230310,40.9086,6.7438,7.1947,0.3904,3691313.3215,3342063.213
20230313,40.3492,6.6516,7.0963,0.4868,3640839.5751,3296364.9923
20230314,40.6103,6.6946,7.1422,0.2611,3664393.9901,3317690.8286
20230315,40.4611,6.67,7.116,0.2949,3650934.3244,3305504.6364
20230316,39.9949,6.5932,7.034,0.3638,3608872.869,3267422.7858
20230317,40.0322,6.5993,7.0405,0.3701,3612237.7855,3270469.3338
20230320,38.3541,6.3227,6.7454,0.8457,3460816.5462,3133374.6715
20230321,38.5965,6.3626,6.788,0.4447,3482688.503,3153177.2338
20230322,38.5297,6.3516,6.7763,0.5496,3476661.1101,3154623.7795
20230323,38.2127,6.2994,6.7205,0.5534,3448053.5405,3128666.0814
20230324,37.2802,6.1456,6.5565,0.6861,3363913.6298,3052319.9106
20230327,37.2056,6.1333,6.5434,0.5107,3357182.4369,3046212.2169
20230328,37.9516,6.2563,6.6746,0.5832,3424494.3655,3107289.1536
20230329,38.0448,6.2717,6.691,0.3377,3432908.3566,3114923.7707
20230330,38.3246,6.3178,6.7402,0.2926,3458150.3298,3137827.6219
20230331,38.2313,6.3024,6.7238,0.2946,3449736.3387,3130193.0049
20230403,37.9702,6.2594,6.6779,0.5934,3426177.1637,3108816.077
20230404,37.4854,6.1795,6.5926,0.3767,3382424.4101,3069116.0682
20230406,37.187,6.1303,6.5401,0.4651,3355499.6387,3044685.2935
20230407,37.5786,6.1948,6.609,0.4354,3390838.4012,3076750.6853
20230410,36.8699,6.078,6.4844,0.953,3326892.0691,3018727.5954
20230411,37.2616,6.1426,6.5533,0.7242,3362230.8316,3050792.9872
20230412,36.5342,6.0227,6.4253,0.5119,3296601.7012,2991242.9739
20230413,37.1497,6.1241,6.5336,0.6652,3352134.0423,3041631.4467
20230414,36.8699,6.078,6.4844,0.4584,3326892.0691,3018727.5954
20230417,36.5529,6.0257,6.4286,0.5569,3298284.4994,2992769.8973
20230418,35.5645,5.8628,6.2548,0.9598,3209096.1941,2911842.9562
20230419,35.2847,5.8167,6.2056,0.8311,3183854.2209,2888939.105
20230420,34.7812,5.7337,6.117,0.4609,3138418.6691,2847712.1727
20230421,34.6879,5.7183,6.1006,0.6425,3130004.678,2840077.5556
20230424,34.259,5.6476,6.0252,0.5043,3091300.3191,2804958.317
20230425,33.8147,5.6039,5.8708,0.9297,3135108.9627,2844714.2159
20230426,34.1233,5.6551,5.9244,0.7365,3163717.0423,2870672.424
20230427,34.9764,5.7964,6.0725,0.8957,3242809.9684,2942439.2346
20230428,34.9582,5.7934,6.0694,0.5642,3241127.1402,2940912.2811
20230504,34.5952,5.7333,6.0063,0.6987,3207470.5759,2910373.2128
20230505,34.5044,5.7182,5.9906,0.5227,3199056.4348,2902738.4457
20230508,34.3229,5.6881,5.9591,0.5484,3182228.1527,2887468.9115
20230509,33.9418,5.625,5.8929,0.4381,3146888.7602,2855402.8898
20230510,33.488,5.5498,5.8141,0.614,3104818.0548,2817229.0544
20230511,31.9452,5.2941,5.5462,1.129,2961777.6566,2687438.0139
20230512,31.4914,5.2189,5.4675,1.8127,2919706.9513,2649264.1785
20230515,32.2356,5.3422,5.5967,0.625,2988702.9081,2711869.2686
20230516,33.488,5.5498,5.8141,1.2346,3104818.0548,2817229.0544
20230517,33.4336,5.5408,5.8047,0.6431,3099769.5702,2812648.1941
20230518,33.8329,5.6069,5.874,0.7328,3136791.7909,2846241.1693
20230519,34.6133,5.7363,6.0095,0.7049,3209153.4041,2911900.1662
20230522,35.0853,5.8145,6.0914,0.5375,3252906.9377,2951600.9551
20230523,34.9219,5.7874,6.0631,0.5785,3237761.4837,2937858.3743
20230524,34.3774,5.6972,5.9685,0.4157,3187276.6373,2892049.7718
20230525,34.2685,5.7833,5.9496,0.394,3177179.668,2882888.0513
20230526,34.7767,5.8691,6.0378,0.5444,3224298.858,2925642.747
20230529,34.1596,5.7649,5.9307,0.4934,3167082.6987,2873726.3308
20230530,33.6695,5.6822,5.8456,0.3503,3121646.337,2832498.5885
20230531,33.8692,5.7159,5.8803,0.4479,3140157.4473,2849295.0761
20230601,33.8873,5.719,5.8834,0.3056,3141840.2755,2850822.0295
20230602,33.9418,5.7282,5.8929,0.2799,3146888.7602,2855402.8898
20230605,33.5062,5.6547,5.8173,0.2925,3106500.883,2818756.0078
20230606,33.2157,5.6056,5.7668,0.4006,3079575.6316,2794324.7531
20230607,32.9616,5.5628,5.7227,0.2409,3056016.0366,2772947.4053
20230608,32.9253,5.5566,5.7164,0.3125,3052650.3802,2769893.4984
20230609,32.762,5.5291,5.6881,0.5466,3037504.9263,2756150.9177
20230612,33.488,5.6516,5.8141,0.3797,3104818.0548,2817229.0544
20230613,34.2685,5.7833,5.9496,0.4382,3177179.668,2882888.0513
20230614,34.3955,5.8048,5.9717,0.3542,3188959.4655,2893576.7252
20230615,35.5572,6.0008,6.1734,0.6929,3296660.4712,2991301.7439
20230616,35.5753,6.0039,6.1765,0.5449,3298343.2994,2992828.6973
20230619,35.412,5.9763,6.1481,0.4496,3283197.8455,2979086.1166
20230620,35.4483,5.9824,6.1544,0.4174,3286563.5019,2982140.0234
20230621,34.9219,5.8936,6.0631,0.3471,3237761.4837,2937858.3743
20230626,35.6116,6.01,6.1828,0.6069,3301708.9559,2995882.6042
20230627,36.0291,6.0804,6.2553,0.4817,3340414.0048,3031002.5327
20230628,35.7931,6.0406,6.2143,0.4411,3318537.238,3011152.1383
20230629,35.7205,6.0284,6.2017,0.2866,3311805.9252,3005044.3247
20230630,35.3938,5.9732,6.145,0.388,3281515.0173,2977559.1632
20230703,35.2123,5.9426,6.1135,0.3639,3264686.7352,2962289.629
20230704,35.2305,5.9457,6.1166,0.2542,3266369.5634,2963816.5824
20230705,34.7586,5.866,6.0347,0.2031,3222616.0298,2924115.7936
20230706,34.2866,5.7864,5.9528,0.2731,3178862.4962,2884415.0047
20230707,33.7603,5.6975,5.8614,0.28,3130060.478,2840133.3556
20230710,33.9781,5.7343,5.8992,0.2339,3150254.4166,2858456.7966
20230711,34.0507,5.7466,5.9118,0.1507,3156985.7295,2864564.6103
20230712,34.7586,5.866,6.0347,0.4424,3222616.0298,2924115.7936
20230713,35.6842,6.0222,6.1954,0.5331,3308440.2687,3001990.4178
20230714,35.7024,6.0253,6.1986,0.2334,3310123.0969,3003517.3712
20230717,35.9202,6.0621,6.2364,0.2605,3330317.0355,3021840.8122
20230718,35.2849,5.9549,6.1261,0.2489,3271418.048,2968397.4426
20230719,35.1216,5.9273,6.0977,0.1871,3256272.5941,2954654.8619
20230720,35.9746,6.0713,6.2458,0.573,3335365.5201,3026421.6725
20230721,36.2288,6.1141,6.2899,0.4057,3358925.1151,3047799.0203
20230724,35.7024,6.0253,6.1986,0.2512,3310123.0969,3003517.3712
20230725,36.2288,6.1141,6.2899,0.3525,3358925.1151,3047799.0203
20230726,36.7733,6.206,6.3845,0.3932,3409409.9616,3093607.6228
20230727,36.4466,6.1509,6.3278,0.3503,3379119.0537,3066122.4613
20230728,36.7551,6.203,6.3813,0.3286,3407727.1334,3092080.6694
20230731,36.4829,6.157,6.3341,0.3834,3382484.7101,3069176.3682
20230801,37.0637,6.255,6.4349,0.3969,3436335.213,3118038.8775
20230802,36.6281,6.1815,6.3593,0.258,3395947.3359,3081391.9955
20230803,36.7551,6.203,6.3813,0.287,3407727.1334,3092080.6694
20230804,36.9366,6.2336,6.4128,0.4198,3424555.4155,3107350.2036
20230807,37.2452,6.2857,6.4664,0.4537,3453163.4951,3133308.4117
20230808,37.6808,6.3592,6.5421,0.8341,3493551.3723,3169955.2937
20230809,36.9366,6.2336,6.4128,0.5889,3424555.4155,3107350.2036
20230810,36.3014,6.1264,6.3026,0.4391,3365656.428,3053906.834
20230811,33.8315,5.6804,5.9499,0.802,3281515.0173,2977559.1632
20230814,33.5713,5.6367,5.9042,0.929,3256272.5941,2954654.8619
20230815,33.1376,5.5638,5.8279,0.6154,3214201.8887,2916481.0265
20230816,32.4262,5.4444,5.7028,0.5947,3145205.932,2853875.9364
20230817,33.1896,5.5726,5.837,0.5749,3219250.3734,2921061.8867
20230818,33.5019,5.625,5.892,0.5744,3249541.2812,2948547.0482
20230821,34.2826,5.7561,6.0293,0.6417,3325268.5509,3017259.952
20230822,33.3458,5.5988,5.8645,0.5451,3234395.8273,2934804.4675
