trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,8.8895,1.5309,0.3733,0.1056,18489280.9825,18429606.9752
20230104,8.9277,1.5375,0.3749,0.0626,18568719.354,18508788.9601
20230105,9.0614,1.5605,0.3805,0.09,18846753.6555,18785925.908
20230106,8.9564,1.5424,0.3761,0.0602,18628298.1336,18568175.4497
20230109,9.0805,1.5638,0.3813,0.0915,18886472.8412,18825516.9005
20230110,8.9755,1.5457,0.3769,0.0817,18668017.3194,18607766.4421
20230111,8.9373,1.5391,0.3753,0.0712,18588578.9478,18528584.4572
20230112,8.8991,1.5326,0.3737,0.0625,18509140.5763,18449402.4724
20230113,9.0041,1.5507,0.3781,0.0585,18727596.0981,18667152.9307
20230116,9.0709,1.5622,0.3809,0.1049,18866613.2484,18805721.4043
20230117,9.09,1.5655,0.3817,0.0662,18906332.4341,18845312.3967
20230118,9.0996,1.5671,0.3821,0.0623,18926192.027,18865107.8929
20230119,9.0996,1.5671,0.3821,0.0499,18926192.027,18865107.8929
20230120,9.0996,1.5671,0.3821,0.0762,18926192.027,18865107.8929
20230130,9.2046,1.5852,0.3865,0.11,19144647.5489,19082858.3513
20230131,9.0805,1.5638,0.3813,0.0933,18886472.8412,18825516.9005
20230201,9.1473,1.5753,0.3841,0.0986,19025489.9915,18964085.374
20230202,9.1187,1.5704,0.3829,0.0802,18965911.2128,18904698.8853
20230203,8.9373,1.5391,0.3753,0.137,18588578.9478,18528584.4572
20230206,8.9086,1.5342,0.3741,0.1009,18529000.1692,18469197.9686
20230207,8.8513,1.5243,0.3717,0.0984,18409842.6118,18350424.9913
20230208,8.8418,1.5227,0.3713,0.081,18389983.0189,18330629.4951
20230209,9.0232,1.5539,0.3789,0.088,18767315.2839,18706743.9232
20230210,9.3383,1.6082,0.3922,0.3769,19422681.8494,19359995.2983
20230213,9.2237,1.5885,0.3873,0.2036,19184366.7346,19122449.3437
20230214,9.2619,1.595,0.3889,0.0977,19263805.1062,19201631.3286
20230215,9.5961,1.6526,0.403,0.366,19958890.8575,19894473.6961
20230216,9.4433,1.6263,0.3966,0.311,19641137.3712,19577745.7566
20230217,9.2715,1.5967,0.3893,0.163,19283664.6991,19221426.8248
20230220,9.4624,1.6296,0.3974,0.1277,19680856.557,19617336.7491
20230221,9.4338,1.6246,0.3962,0.1076,19621277.7783,19557950.2604
20230222,9.3097,1.6033,0.3909,0.11,19363103.0707,19300608.8096
20230223,9.2619,1.595,0.3889,0.0879,19263805.1062,19201631.3286
20230224,9.1855,1.5819,0.3857,0.0782,19104928.3631,19043267.3588
20230227,9.09,1.5655,0.3817,0.0989,18906332.4341,18845312.3967
20230228,9.1664,1.5786,0.3849,0.1285,19065209.1773,19003676.3664
20230301,9.5102,1.6378,0.3994,0.2736,19780154.5214,19716314.2301
20230302,9.873,1.7003,0.4146,0.4545,20534819.0514,20468543.0863
20230303,10.8565,1.8697,0.4559,0.8056,22580357.1193,22507479.1965
20230306,10.5605,1.8187,0.4435,1.3532,21964709.7397,21893818.8138
20230307,10.0353,1.7282,0.4214,0.8265,20872432.1305,20805066.522
20230308,10.0926,1.7381,0.4238,0.4544,20991589.6879,20923839.4993
20230309,10.6464,1.8335,0.4471,0.9535,22143446.0757,22071978.2797
20230310,10.36,1.7842,0.4351,0.4847,21547658.2889,21478113.3933
20230313,11.0857,1.9091,0.4655,0.7452,23056987.3488,22982571.1056
20230314,11.2289,1.9338,0.4715,0.6695,23354881.2422,23279503.5488
20230315,11.9416,1.8585,0.4683,0.7,23970528.6219,23893163.9315
20230316,12.2187,1.9017,0.4792,0.7144,24526597.2229,24447437.8255
20230317,13.4455,2.0926,0.5273,0.7262,26989186.7416,26902079.3562
20230320,14.7217,2.2912,0.5773,1.6406,29551074.2248,29455698.3679
20230321,14.4447,2.2481,0.5665,1.4173,28995005.6238,28901424.4739
20230322,15.8892,2.4729,0.6231,1.4327,31894506.1862,31791566.9213
20230323,16.8093,2.6161,0.6592,1.802,33741448.3252,33632548.0693
20230324,17.4722,2.7193,0.6852,1.5329,35072041.049,34958846.3157
20230327,17.4425,2.7147,0.684,1.9114,35012462.2704,34899459.827
20230328,16.2751,2.533,0.6383,1.2893,32669030.309,32563591.2737
20230329,15.9881,2.4883,0.627,1.7847,32093102.1151,31989521.8834
20230330,16.7005,2.5992,0.6549,1.4939,33522992.8034,33414797.6109
20230331,17.0369,2.6515,0.6681,1.12,34198218.9617,34087844.4822
20230403,17.5711,2.7347,0.6891,1.7166,35270636.978,35156801.2778
20230404,17.2248,2.6808,0.6755,1.1005,34575551.2267,34463958.9103
20230406,18.8011,2.9253,0.7373,1.3147,37739498.3758,37617714.6876
20230407,18.1777,2.8283,0.7129,0.8215,36488136.0612,36370390.4637
20230410,17.2871,2.6897,0.6779,0.8137,34700475.6119,34588498.7154
20230411,17.1683,2.6712,0.6733,0.8713,34462120.8853,34350913.1489
20230412,18.2271,2.836,0.7148,0.9208,36587450.5306,36469384.4498
20230413,17.4751,2.719,0.6853,0.8217,35077870.5956,34964675.8623
