ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
000002.SZ,20220429,20220331,0.1229,0.6045,18.8748,4.4473,0.6472,10.5788
000002.SZ,20220429,20220331,0.1229,0.6045,18.8748,4.4473,0.6472,10.5788
000002.SZ,20220831,20220630,1.0514,5.1991,20.4649,8.7488,23.8197,10.643
000002.SZ,20220831,20220630,1.0514,5.1991,20.4649,8.7488,23.8197,10.643
000002.SZ,20221029,20220930,1.4697,7.1481,19.6293,8.0683,24.3797,2.1669
000002.SZ,20221029,20220930,1.4697,7.1481,19.6293,8.0683,24.3797,2.1669
000002.SZ,20230331,20221231,1.95,9.4508,19.5537,7.453,11.2723,0.4162
000002.SZ,20230331,20221231,1.95,9.4508,19.5537,7.453,11.2723,0.4162
000002.SZ,20230429,20230331,0.1251,0.5917,15.4473,4.1384,9.2663,1.1555
000002.SZ,20230429,20230331,0.1251,0.5917,15.4473,4.1384,9.2663,1.1555
000002.SZ,20230831,20230630,0.84,4.0122,18.8665,7.5504,-2.9112,-19.4331
000002.SZ,20231028,20230930,1.1585,5.497,17.5806,7.2431,-14.0268,-20.3112
000002.SZ,20240329,20231231,1.03,4.9294,15.235,4.3921,-7.5618,-46.3929
000002.SZ,20240430,20240331,-0.0305,-0.1444,10.8216,0.5379,-10.0474,-125.0356
000002.SZ,20240831,20240630,-0.8309,-4.0013,8.1152,-5.9678,-28.9278,-199.8179
000002.SZ,20241031,20240930,-1.5132,-7.4008,9.5021,-7.4573,-24.2548,-231.728
000002.SZ,20250401,20241231,-4.17,-21.823,10.1731,-14.1921,-26.3157,-506.8052
000002.SZ,20250430,20250331,-0.5268,-3.1278,6.1003,-16.8845,-38.3145,-1625.6268
000002.SZ,20250430,20250331,-0.5268,-3.1278,6.1003,-16.8845,-38.3145,-1625.6268
000002.SZ,20250823,20250630,-1.0075,-6.0626,9.9681,-10.3158,-26.2332,-21.2542
