ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
601233.SH,20220428,20220331,0.62,4.1158,9.7236,11.6187,16.7181,-12.4539
601233.SH,20220428,20220331,0.62,4.1158,9.7236,11.6187,16.7181,-12.4539
601233.SH,20220824,20220630,0.96,6.2704,8.0198,7.7405,-1.1069,-44.3215
601233.SH,20220824,20220630,0.96,6.2704,8.0198,7.7405,-1.1069,-44.3215
601233.SH,20221029,20220930,0.81,5.3604,5.7859,4.1282,-6.2739,-68.5869
601233.SH,20221029,20220930,0.81,5.3604,5.7859,4.1282,-6.2739,-68.5869
601233.SH,20230422,20221231,0.055,0.3692,3.2345,0.2201,4.7943,-98.2556
601233.SH,20230422,20221231,0.055,0.3692,3.2345,0.2201,4.7943,-98.2556
601233.SH,20230429,20230331,-0.2,-1.423,4.787,-2.9703,22.465,-132.6075
601233.SH,20230429,20230331,-0.2,-1.423,4.787,-2.9703,22.465,-132.6075
601233.SH,20230830,20230630,0.04,0.3033,5.9384,0.3313,23.6013,-95.419
601233.SH,20231028,20230930,0.38,2.5724,6.1073,1.4979,30.8399,-53.2257
601233.SH,20240427,20231231,0.34,2.2718,5.0638,0.994,33.3044,539.1015
601233.SH,20240430,20240331,0.24,1.6215,6.7065,2.7689,32.6637,218.0114
601233.SH,20240829,20240630,0.45,2.9585,6.1874,2.2259,30.673,911.3506
601233.SH,20241031,20240930,0.42,2.8024,5.1397,1.3391,23.1725,11.4116
601233.SH,20250426,20241231,0.51,3.3381,4.6426,1.2023,22.5884,50.7961
601233.SH,20250426,20241231,0.51,3.3381,4.6426,1.2023,22.5884,50.7961
601233.SH,20250430,20250331,0.26,1.6582,7.7127,3.1586,-8.012,5.3584
601233.SH,20250829,20250630,0.46,2.9557,6.7602,2.5008,-8.4138,2.9334
