ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20230103,3864.8356,3893.9904,3831.245,3887.8992,115051875.0,207540165.9532
000300.SH,20230104,3886.2504,3905.9032,3873.6549,3892.9477,110660743.0,198997711.686
000300.SH,20230105,3913.4928,3974.875,3912.26,3968.5782,116502395.0,256312608.292
000300.SH,20230106,3969.5493,4000.4143,3966.4696,3980.8888,110953038.0,235744305.5822
000300.SH,20230109,3998.5278,4023.0898,3990.7073,4013.1196,117054425.0,233212426.4581
000300.SH,20230110,4014.7125,4030.4574,4002.2297,4017.4737,101751141.0,214871166.2395
000300.SH,20230111,4019.8844,4043.3991,4008.0153,4010.0309,99997889.0,203000262.9606
000300.SH,20230112,4021.7547,4030.2876,4003.5079,4017.8692,90552627.0,183686268.1068
000300.SH,20230113,4032.2906,4074.3772,4027.8864,4074.3772,95871896.0,212173997.4984
000300.SH,20230116,4077.8793,4177.1035,4076.6394,4137.9643,151395455.0,319007749.3713
000300.SH,20230117,4138.8433,4148.5838,4118.157,4137.2422,95479040.0,204381576.5234
000300.SH,20230118,4140.1019,4151.4577,4125.7687,4130.3143,84200645.0,172126171.8192
000300.SH,20230119,4125.5772,4156.0077,4105.9797,4156.0077,94608398.0,192699589.7741
000300.SH,20230120,4166.8444,4189.831,4161.6698,4181.5267,123553809.0,222342455.1007
000300.SH,20230130,4267.6248,4268.1522,4197.8596,4201.345,164607064.0,330193322.0922
000300.SH,20230131,4200.5813,4212.7347,4153.0484,4156.8578,124550835.0,249365321.6271
000300.SH,20230201,4170.1322,4195.9332,4137.7659,4195.9332,141008954.0,265553944.7093
000300.SH,20230202,4207.4123,4207.4123,4170.5565,4181.1493,133823736.0,262497434.837
000300.SH,20230203,4162.0258,4162.0258,4103.1654,4141.6319,117041221.0,226914770.0439
000300.SH,20230206,4103.8307,4105.9445,4065.2224,4086.8779,110192717.0,226345113.9687
000300.SH,20230207,4098.3117,4107.3438,4077.9623,4094.2335,91360072.0,183537351.5771
000300.SH,20230208,4099.8573,4111.4745,4072.6474,4076.1411,84786099.0,170591751.8173
000300.SH,20230209,4067.5631,4130.8565,4064.7489,4130.8565,102289961.0,211722604.8592
000300.SH,20230210,4124.0986,4125.2893,4092.3472,4106.3097,96716733.0,195348320.5734
000300.SH,20230213,4098.8795,4146.45,4092.2729,4143.574,128892577.0,251990181.5539
000300.SH,20230214,4151.247,4152.0487,4125.2583,4145.2902,102499890.0,204915435.7499
000300.SH,20230215,4146.8547,4153.7159,4115.9671,4123.6893,121664508.0,219855528.9664
000300.SH,20230216,4125.4087,4167.9003,4068.8591,4093.4876,159310585.0,281315625.5886
000300.SH,20230217,4086.2237,4104.6398,4032.9285,4034.507,116142589.0,225737746.955
000300.SH,20230220,4039.9623,4134.8623,4035.4762,4133.4896,161794481.0,280122962.1504
000300.SH,20230221,4130.0632,4151.7994,4116.2716,4144.3536,145776173.0,249674201.0482
000300.SH,20230222,4118.9669,4134.8759,4101.8596,4106.9506,104290295.0,191586158.9912
000300.SH,20230223,4106.2136,4132.3896,4088.2073,4103.6463,103564906.0,197193582.4301
000300.SH,20230224,4100.9897,4102.6094,4048.2374,4061.0457,100989425.0,191210465.0532
000300.SH,20230227,4040.4571,4067.0296,4034.5237,4043.8444,93787630.0,187959491.1453
000300.SH,20230228,4058.1298,4074.2639,4026.4476,4069.4587,110323591.0,198799712.3791
