ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
300476.SZ,20230103,12.91,13.33,12.86,13.26,12.94,2.473,70266.99,92517.146,4.836,12.651271555654624,13.062854363816896,12.602273602301972,12.994257229123184
300476.SZ,20230104,13.35,13.44,13.15,13.27,13.26,0.0754,70942.94,94322.313,4.836,13.082453545157959,13.17064986119273,12.886461731747351,13.004056819793716
300476.SZ,20230105,13.24,13.42,13.21,13.4,13.27,0.9797,57466.69,76751.261,4.836,12.974658047782127,13.151050679851672,12.945259275770535,13.131451498510609
300476.SZ,20230106,13.37,13.5,13.3,13.38,13.4,-0.1493,57382.45,76966.089,4.836,13.102052726499018,13.229447405215911,13.033455591805307,13.111852317169548
300476.SZ,20230109,13.43,13.56,13.39,13.5,13.38,0.8969,84831.5,114494.166,4.836,13.160850270522198,13.288244949239093,13.121651907840079,13.229447405215911
300476.SZ,20230110,13.5,13.57,13.4,13.41,13.5,-0.6667,52764.2,71082.891,4.836,13.229447405215911,13.298044539909624,13.131451498510609,13.141251089181141
300476.SZ,20230111,13.49,13.55,13.31,13.33,13.41,-0.5966,81135.09,109125.373,4.836,13.21964781454538,13.278445358568566,13.04325518247584,13.062854363816896
300476.SZ,20230112,13.33,13.44,13.25,13.32,13.33,-0.075,47754.91,63669.166,4.836,13.062854363816896,13.17064986119273,12.984457638452653,13.053054773146366
300476.SZ,20230113,13.35,13.36,13.18,13.3,13.32,-0.1502,51623.6,68460.728,4.836,13.082453545157959,13.092253135828486,12.915860503758942,13.033455591805307
300476.SZ,20230116,13.33,13.64,13.29,13.6,13.3,2.2556,114309.89,154567.924,4.836,13.062854363816896,13.366641674603336,13.023656001134773,13.327443311921215
300476.SZ,20230117,13.59,13.81,13.55,13.7,13.6,0.7353,71826.82,98454.687,4.836,13.317643721250686,13.533234716002353,13.278445358568566,13.425439218626519
300476.SZ,20230118,13.7,13.74,13.62,13.69,13.7,-0.073,56297.26,76977.536,4.836,13.425439218626519,13.46463758130864,13.347042493262276,13.415639627955988
300476.SZ,20230119,13.62,13.9,13.59,13.9,13.69,1.534,82155.6,113532.226,4.836,13.347042493262276,13.621431032037126,13.317643721250686,13.621431032037126
300476.SZ,20230120,13.92,14.09,13.91,14.08,13.9,1.295,87742.61,122903.624,4.836,13.641030213378185,13.8076232547772,13.631230622707655,13.79782366410667
300476.SZ,20230130,14.3,14.6,14.2,14.23,14.08,1.0653,166413.51,239611.102,4.836,14.013414658858338,14.307402378974247,13.915418752153032,13.944817524164625
300476.SZ,20230131,14.16,14.26,14.12,14.21,14.23,-0.1405,57594.91,81726.226,4.836,13.876220389470912,13.974216296176214,13.83702202678879,13.925218342823564
300476.SZ,20230201,14.23,14.57,14.21,14.52,14.21,2.1816,107797.7,155511.589,4.836,13.944817524164625,14.278003606962654,13.925218342823564,14.229005653610004
300476.SZ,20230202,14.52,14.72,14.45,14.5,14.52,-0.1377,115191.04,167862.009,4.836,14.229005653610004,14.42499746702061,14.160408518916292,14.209406472268942
300476.SZ,20230203,14.46,14.78,14.44,14.77,14.5,1.8621,156534.79,228864.485,4.836,14.170208109586822,14.48379501104379,14.15060892824576,14.473995420373262
300476.SZ,20230206,14.65,14.88,14.6,14.86,14.77,0.6093,112518.39,165701.735,4.836,14.356400332326897,14.581790917749094,14.307402378974247,14.562191736408034
300476.SZ,20230207,14.85,15.29,14.81,15.03,14.86,1.144,179069.53,269913.68,4.836,14.552392145737503,14.983574135240836,14.513193783055382,14.728784777807048
300476.SZ,20230208,15.08,15.23,14.88,14.94,15.03,-0.5988,109247.61,163975.377,4.836,14.777782731159702,14.924776591217656,14.581790917749094,14.640588461772277
300476.SZ,20230209,14.82,17.27,14.78,17.07,14.94,14.257,728626.1,1195023.152,4.836,14.522993373725914,16.923893088005837,14.48379501104379,16.727901274595233
300476.SZ,20230210,17.3,19.07,17.28,18.28,17.07,7.0885,1121163.53,2038030.631,4.836,16.95329186001743,18.68781940870129,16.93369267867637,17.9136517457294
300476.SZ,20230213,18.47,19.47,17.97,19.27,18.28,5.4158,808182.37,1520189.572,4.836,18.09984396846947,19.079803035522502,17.609864434942956,18.8838112221119
300476.SZ,20230214,18.55,19.15,17.69,18.04,19.27,-6.383,726353.0,1333044.538,4.836,18.178240693833718,18.766216134065534,17.335475896168113,17.67846156963667
300476.SZ,20230215,17.88,19.37,17.48,19.03,18.04,5.4878,942258.68,1739742.707,4.836,17.521668118908185,18.981807128817202,17.129684492086973,18.648621046019173
300476.SZ,20230216,19.0,19.5,17.72,18.04,19.03,-5.2023,812579.27,1523772.145,4.836,18.61922227400758,19.109201807534095,17.364874668179702,17.67846156963667
300476.SZ,20230217,18.04,18.09,17.13,17.22,18.04,-4.5455,487395.74,850260.028,4.836,17.67846156963667,17.727459522989324,16.786698818618415,16.874895134653183
300476.SZ,20230220,17.22,18.15,16.85,17.95,17.22,4.2393,465367.3,816941.845,4.836,16.874895134653183,17.786257067012503,16.512310279843565,17.5902652536019
300476.SZ,20230221,17.84,18.19,17.48,17.66,17.95,-1.6156,266359.48,473360.299,4.836,17.482469756226067,17.825455429694625,17.129684492086973,17.30607712415652
300476.SZ,20230222,17.66,17.92,17.17,17.68,17.66,0.1133,247058.13,432790.863,4.836,17.30607712415652,17.56086648159031,16.825897181300537,17.32567630549758
300476.SZ,20230223,17.61,18.2,17.16,17.4,17.68,-1.5837,173627.39,304002.943,4.836,17.25707917080387,17.835255020365157,16.816097590630005,17.05128776672273
300476.SZ,20230224,18.0,18.1,17.5,17.7,17.4,1.7241,318294.64,566104.297,4.836,17.63926320695455,17.737259113659853,17.149283673428034,17.34527548683864
300476.SZ,20230227,17.41,17.8,16.91,17.01,17.7,-3.8983,266255.14,458244.325,4.836,17.061087357393262,17.443271393543945,16.571107823866747,16.66910373057205
300476.SZ,20230228,17.12,17.56,17.03,17.37,17.01,2.1164,216908.95,375579.502,4.836,16.776899227947883,17.208081217451216,16.68870291191311,17.02188899471114
300476.SZ,20230301,17.37,18.18,17.07,17.88,17.37,2.9361,298830.27,531912.294,4.836,17.02188899471114,17.815655839024096,16.727901274595233,17.521668118908185
300476.SZ,20230302,17.88,18.15,17.61,17.7,17.88,-1.0067,225922.18,403761.285,4.836,17.521668118908185,17.786257067012503,17.25707917080387,17.34527548683864
300476.SZ,20230303,17.87,18.16,17.6,18.03,17.7,1.8644,269756.93,483423.053,4.836,17.511868528237656,17.796056657683035,17.247279580133338,17.668661978966142
300476.SZ,20230306,17.96,18.29,17.48,17.85,18.03,-0.9983,226018.99,403567.493,4.836,17.600064844272428,17.92345133639993,17.129684492086973,17.492269346896595
300476.SZ,20230307,17.85,17.85,16.95,17.06,17.85,-4.4258,268481.29,462794.564,4.836,17.492269346896595,17.492269346896595,16.61030618654887,16.7181016839247
300476.SZ,20230308,16.99,17.39,16.88,17.3,17.06,1.4068,240963.61,413804.503,4.836,16.64950454923099,17.0414881760522,16.541709051855154,16.95329186001743
300476.SZ,20230309,17.38,17.47,17.1,17.28,17.3,-0.1156,129877.0,224334.977,4.836,17.03168858538167,17.119884901416444,16.757300046606822,16.93369267867637
300476.SZ,20230310,17.06,17.35,16.76,16.76,17.28,-3.0093,185788.03,314715.768,4.836,16.7181016839247,17.002289813370083,16.424113963808793,16.424113963808793
300476.SZ,20230313,16.62,16.85,16.4,16.73,16.76,-0.179,188334.88,313014.466,4.836,16.286919694421368,16.512310279843565,16.0713286996697,16.394715191797204
300476.SZ,20230314,16.68,16.68,15.8,16.2,16.73,-3.168,243924.6,393927.711,4.836,16.345717238444546,16.345717238444546,15.483353259437884,15.875336886259094
300476.SZ,20230315,16.29,16.37,15.78,15.82,16.2,-2.3457,174702.04,280315.295,4.836,15.963533202293867,16.04192992765811,15.46375407809682,15.502952440778943
300476.SZ,20230316,15.73,15.85,15.26,15.38,15.82,-2.7813,197810.48,306259.752,4.836,15.414756124744171,15.532351212790532,14.954175363229245,15.071770451275611
300476.SZ,20230317,15.5,16.65,15.49,16.16,15.38,5.0715,341888.25,554340.018,4.836,15.189365539321972,16.316318466432957,15.179565948651444,15.836138523576972
300476.SZ,20230320,16.44,17.16,16.31,16.95,16.16,4.8886,394066.53,665706.129,4.836,16.110527062351824,16.816097590630005,15.983132383634926,16.61030618654887
