ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
688005.SH,20230103,68.85,71.01,67.88,71.0,68.75,3.2727,52908.5,369125.84,1.006,44.80148771021992,46.20702457956016,44.17029754204398,46.20051746442432
688005.SH,20230104,70.89,70.89,68.63,69.04,71.0,-2.7606,41344.52,286987.44,1.006,46.128939197930144,46.128939197930144,44.65833117723157,44.92512289780078
688005.SH,20230105,69.47,71.8,68.98,71.64,69.04,3.7659,61683.98,436456.742,1.006,45.20492884864166,46.721086675291076,44.886080206985774,46.61697283311772
688005.SH,20230106,71.02,74.3,70.86,73.1,71.64,2.038,69045.6,502860.761,1.006,46.21353169469599,48.347865459249675,46.10941785252264,47.56701164294954
688005.SH,20230109,73.1,74.05,71.56,71.69,73.1,-1.9289,57159.16,414116.601,1.006,47.56701164294954,48.185187580853814,46.56491591203105,46.64950840879689
688005.SH,20230110,71.33,72.33,69.16,71.51,71.69,-0.2511,83556.89,589440.595,1.006,46.41525226390686,47.065963777490296,45.00320827943078,46.532380336351885
688005.SH,20230111,71.47,71.47,69.71,69.74,71.51,-2.4752,48750.14,342931.618,1.006,46.50635187580854,46.50635187580854,45.36109961190168,45.38062095730918
688005.SH,20230112,70.49,76.08,70.49,73.73,69.74,5.7213,124282.01,916058.675,1.006,45.86865459249676,49.5061319534282,45.86865459249676,47.97695989650712
688005.SH,20230113,74.0,75.68,71.78,73.3,73.73,-0.5832,64540.93,473080.316,1.006,48.152652005174645,49.24584734799483,46.708072445019404,47.69715394566624
688005.SH,20230116,72.5,75.15,71.41,73.7,73.3,0.5457,58884.12,432836.808,1.006,47.176584734799484,48.900970245795605,46.46730918499353,47.957438551099614
688005.SH,20230117,73.99,74.96,73.5,74.27,73.7,0.7734,40956.19,303877.256,1.006,48.146144890038805,48.77733505821474,47.82729624838292,48.32834411384217
688005.SH,20230118,74.57,78.33,74.29,76.82,74.27,3.4334,82167.74,629408.525,1.006,48.523557567917194,50.97023285899095,48.34135834411384,49.98765847347995
688005.SH,20230119,76.82,76.95,75.45,76.66,76.82,-0.2083,43229.01,329221.091,1.006,49.98765847347995,50.07225097024579,49.096183699870636,49.88354463130659
688005.SH,20230120,76.7,76.98,75.75,76.34,76.66,-0.4174,49149.07,374738.317,1.006,49.909573091849936,50.091772315653294,49.29139715394566,49.675316946959896
688005.SH,20230130,79.2,80.75,77.41,77.55,76.34,1.585,91144.86,720875.706,1.006,51.53635187580854,52.544954721862865,50.371578266494176,50.46267787839586
688005.SH,20230131,77.55,79.5,77.08,78.63,77.55,1.3926,45627.3,358895.402,1.006,50.46267787839586,51.73156532988357,50.15684346701164,51.16544631306597
688005.SH,20230201,78.39,82.15,78.34,81.94,78.63,4.2096,81163.84,658105.654,1.006,51.009275549805956,53.455950840879694,50.97673997412678,53.31930142302717
688005.SH,20230202,82.29,82.8,81.09,81.6,81.94,-0.4149,46396.36,379611.793,1.006,53.54705045278138,53.878913324708925,52.76619663648125,53.09805950840879
688005.SH,20230203,81.69,81.69,78.61,79.71,81.6,-2.3162,56910.39,452278.622,1.006,53.1566235446313,53.1566235446313,51.152432082794306,51.86821474773609
688005.SH,20230206,79.34,79.5,77.0,77.71,79.71,-2.5091,39711.15,309364.089,1.006,51.62745148771022,51.73156532988357,50.104786545924966,50.566791720569206
688005.SH,20230207,77.44,78.36,76.51,78.31,77.71,0.7721,36771.69,284394.686,1.006,50.39109961190168,50.98975420439845,49.785937904269076,50.957218628719275
688005.SH,20230208,78.18,79.74,77.64,78.05,78.31,-0.332,37138.42,292431.832,1.006,50.87262613195343,51.887736093143594,50.52124191461837,50.788033635187574
688005.SH,20230209,77.5,78.85,77.01,78.57,78.05,0.6662,34840.28,272364.76,1.006,50.43014230271669,51.30860284605433,50.1112936610608,51.12640362225096
688005.SH,20230210,77.71,78.85,77.2,77.44,78.57,-1.4382,31824.27,247457.756,1.006,50.566791720569206,51.30860284605433,50.23492884864166,50.39109961190168
688005.SH,20230213,77.28,78.56,77.06,77.72,77.44,0.3616,32577.39,252475.961,1.006,50.286985769728325,51.119896507115136,50.143829236739975,50.57329883570504
688005.SH,20230214,77.52,78.1,76.0,76.66,77.72,-1.3639,47503.62,364101.425,1.006,50.443156532988354,50.82056921086674,49.45407503234153,49.88354463130659
688005.SH,20230215,76.55,77.25,75.25,75.86,76.66,-1.0436,40718.77,309426.702,1.006,49.81196636481241,50.26746442432083,48.966041397153944,49.362975420439845
688005.SH,20230216,75.6,76.2,73.38,73.8,75.86,-2.7155,48519.43,362694.432,1.006,49.193790426908144,49.58421733505821,47.74921086675291,48.02250970245796
688005.SH,20230217,73.93,74.3,72.68,72.83,73.8,-1.3144,33302.66,243921.905,1.006,48.1071021992238,48.347865459249675,47.29371280724451,47.39131953428202
688005.SH,20230220,72.08,72.75,71.36,72.73,72.83,-0.1373,43917.85,316252.638,1.006,46.903285899094435,47.33926261319534,46.43477360931436,47.32624838292367
688005.SH,20230221,72.57,73.9,72.0,72.45,72.73,-0.385,41764.73,304124.332,1.006,47.22213454075031,48.0875808538163,46.85122897800776,47.144049159120314
688005.SH,20230222,72.2,72.2,71.12,71.5,72.45,-1.3112,33907.31,242827.056,1.006,46.98137128072445,46.98137128072445,46.27860284605434,46.52587322121604
688005.SH,20230223,71.5,73.14,71.5,72.94,71.5,2.014,38378.22,278804.204,1.006,46.52587322121604,47.59304010349288,46.52587322121604,47.4628978007762
688005.SH,20230224,72.55,73.12,72.07,72.48,72.94,-0.6307,22799.21,165314.09,1.006,47.20912031047865,47.58002587322122,46.896778783958595,47.16357050452782
688005.SH,20230227,72.48,73.58,71.83,72.1,72.48,-0.5243,27010.31,196218.486,1.006,47.16357050452782,47.879353169469596,46.74060802069858,46.9163001293661
688005.SH,20230228,72.35,72.6,71.48,72.13,72.1,0.0416,21330.66,153428.549,1.006,47.07897800776196,47.241655886157815,46.51285899094438,46.935821474773604
688005.SH,20230301,72.25,72.82,71.77,72.45,72.13,0.4436,22299.3,161470.837,1.006,47.013906856403615,47.38481241914618,46.70156532988357,47.144049159120314
688005.SH,20230302,72.55,72.55,70.35,70.58,72.45,-2.5811,33528.82,239073.179,1.006,47.20912031047865,47.20912031047865,45.77755498059508,45.927218628719274
688005.SH,20230303,70.51,70.84,69.1,69.55,70.58,-1.4593,39887.23,277890.446,1.006,45.88166882276844,46.09640362225097,44.964165588615785,45.256985769728324
688005.SH,20230306,69.55,70.76,68.6,70.6,69.55,1.5097,38939.52,271224.226,1.006,45.256985769728324,46.044346701164294,44.63880983182406,45.94023285899093
688005.SH,20230307,70.41,70.91,69.33,69.42,70.6,-1.6714,23870.04,167255.244,1.006,45.816597671410086,46.14195342820181,45.113829236739974,45.17239327296249
688005.SH,20230308,69.23,69.76,68.02,68.23,69.42,-1.7142,29946.21,205463.345,1.006,45.04875808538163,45.393635187580855,44.26139715394566,44.39804657179819
