trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,57.8206,6.5087,9.0017,1.1824,12172497.8868,12109175.1745
20230104,56.8163,6.3956,8.8454,1.5532,11961078.0364,11898855.1541
20230105,57.321,6.4524,8.9239,1.1807,12067316.5112,12004540.9644
20230106,57.3235,6.4527,8.9243,1.1979,12067845.0608,12005066.7644
20230109,57.5946,6.4832,8.9665,1.3247,12124928.4204,12061853.1699
20230110,57.8708,6.5143,9.0095,1.6577,12183068.8793,12119691.1756
20230111,57.4691,6.4691,8.947,2.2085,12098500.9391,12035563.1674
20230112,56.6431,6.3761,8.8184,1.1447,11924608.1122,11862574.9506
20230113,57.0197,6.4185,8.877,0.8297,12003890.5561,11941444.9583
20230116,59.2517,6.6698,9.2245,2.3557,12473771.1736,12408881.2036
20230117,60.8987,6.8552,9.4809,1.803,12820499.7283,12753806.0371
20230118,60.0551,6.7602,9.3496,0.9377,12642907.0539,12577137.2199
20230119,61.677,6.9428,9.6021,1.2356,12984350.1123,12916804.0529
20230120,61.6845,6.9436,9.6033,1.1079,12985935.7612,12918381.453
20230130,61.2928,6.8995,9.5423,1.5788,12903482.0195,12836356.6451
20230131,58.8223,6.6214,9.1577,2.2022,12383389.1876,12318969.3949
20230201,59.794,6.7308,9.3089,1.4157,12587937.8928,12522454.0146
20230202,64.1701,7.2234,9.9902,3.751,13509199.8909,13438923.5035
20230203,63.4721,7.1449,9.8816,1.5513,13362263.0949,13292751.0893
20230206,63.7709,7.1785,9.9281,1.5494,13425160.5004,13355321.2954
20230207,62.6762,7.0553,9.7577,1.3997,13194712.8635,13126072.4732
20230208,61.5012,6.923,9.5747,1.2256,12947351.6385,12879998.0493
20230209,63.57,7.1559,9.8968,1.8161,13382876.5303,13313257.2913
20230210,62.3875,7.0228,9.7127,1.3837,13133929.6565,13065605.4673
20230213,63.3415,7.1302,9.8612,1.5437,13334778.5144,13265409.4867
20230214,62.3297,7.0163,9.7037,1.7044,13121773.0151,13053512.0661
20230215,64.2554,7.233,10.0035,1.619,13527170.5782,13456800.7052
20230216,63.0428,7.0965,9.8147,1.7333,13271881.1089,13202839.2806
20230217,59.7638,6.7274,9.3043,2.3742,12581595.2973,12516144.414
20230220,60.0224,6.7565,9.3445,1.2601,12636035.9088,12570301.8193
20230221,60.0174,6.756,9.3437,0.8421,12634978.8095,12569250.2192
20230222,60.5079,6.8112,9.4201,1.0197,12738232.0313,12673077.9218
20230223,60.3044,6.7883,9.3884,0.7646,12695402.8921,12630467.8471
20230224,59.6087,6.71,9.2801,0.7997,12548937.8108,12484751.9123
20230227,57.9611,6.5245,9.0236,1.1742,12202074.6581,12139662.9116
20230228,58.584,6.5946,9.1206,0.9684,12333205.85,12270123.3875
20230301,58.6844,6.6059,9.1362,1.0001,12354356.0422,12291165.3997
20230302,58.9482,6.6356,9.1773,1.399,12409875.2968,12346400.6818
20230303,62.5247,7.0382,9.7341,3.2409,13162822.1406,13122811.2591
20230306,64.0166,7.2062,9.9664,2.3794,13476902.4953,13435936.9073
20230307,62.2032,7.002,9.684,1.6581,13095141.5254,13055336.3719
20230308,62.5348,7.0393,9.7356,1.2261,13164937.1598,13124919.8493
20230309,64.8731,7.3026,10.0997,2.9309,13657207.8842,13615694.2239
20230310,65.5965,7.384,10.2123,2.4318,13809489.2683,13767512.7201
20230313,66.0159,7.4312,10.2776,1.6572,13897791.3209,13855546.3619
20230314,69.8236,7.8598,10.8704,3.0702,14699383.6068,14654702.0568
20230315,68.3166,7.6902,10.6358,2.3373,14382130.7232,14338413.5232
20230316,67.0608,7.5488,10.4403,2.0157,14117753.3202,14074839.7452
20230317,67.8142,7.6336,10.5576,1.9733,14276379.762,14232984.012
20230320,69.6452,7.8397,10.8426,2.4845,14661842.0156,14617274.5803
