trade_date,pe_ttm,pb,ps_ttm,turnover_rate,total_mv,circ_mv
20230103,25.0012,4.9853,1.3747,1.8868,3201271.1815,1990975.4893
20230104,24.3111,4.8477,1.3367,1.4744,3112898.0616,1936013.349
20230105,25.2266,5.0303,1.3871,2.1997,3230127.7105,2008922.3106
20230106,25.7407,5.1328,1.4153,2.4622,3295956.6672,2049863.4967
20230109,25.2442,5.0338,1.388,2.0383,3232382.1268,2010324.406
20230110,25.1808,5.0212,1.3845,2.9797,3224266.228,2005276.8625
20230111,24.5575,4.8969,1.3503,1.7385,3144459.8901,1955642.6848
20230112,25.9625,5.177,1.4275,4.432,3324362.3128,2067529.899
20230113,25.8111,5.1468,1.4192,2.3016,3304974.3325,2055471.8784
20230116,25.952,5.1749,1.4269,2.0999,3323009.6631,2066688.6417
20230117,26.1527,5.215,1.438,1.4605,3348710.0092,2082672.5294
20230118,27.0506,5.394,1.4874,2.9302,3463685.2417,2154179.3956
20230119,26.9943,5.3828,1.4843,1.5416,3456471.1095,2149692.6903
20230120,26.8816,5.3603,1.4781,1.7527,3442042.845,2140719.2796
20230130,27.3077,5.4453,1.5015,3.2503,3496599.7201,2174649.9887
20230131,27.688,5.5211,1.5224,1.6271,3545295.1127,2204935.2496
20230201,28.8535,5.7535,1.5865,2.8944,3694537.4734,2297753.9661
20230202,28.7338,5.7296,1.5799,1.6545,3679207.4424,2288219.7173
20230203,28.0683,5.5969,1.5433,2.0295,3593990.5053,2235220.5106
20230206,27.364,5.4565,1.5046,1.4161,3503813.8523,2179136.694
20230207,27.5753,5.4986,1.5162,1.3113,3530866.8482,2195961.839
20230208,27.4837,5.4804,1.5112,1.3244,3519143.8833,2188670.9428
20230209,27.6669,5.5169,1.5212,1.2424,3542589.8131,2203252.7351
20230210,27.269,5.4375,1.4994,1.1349,3491640.0042,2171565.3788
20230213,27.3675,5.4572,1.5048,1.1617,3504264.7356,2179417.1131
20230214,26.9943,5.3828,1.4843,1.694,3456471.1095,2149692.6903
20230215,26.7126,5.3266,1.4688,1.4521,3420400.4483,2127259.1636
20230216,25.9872,5.182,1.4289,1.7302,3327518.4957,2069492.8325
20230217,25.6456,5.1138,1.4101,1.1876,3283782.819,2042292.1815
20230220,25.6104,5.1068,1.4082,1.5662,3279273.9863,2039487.9907
20230221,25.5118,5.0872,1.4027,1.4894,3266649.2549,2031636.2563
20230222,25.1773,5.0205,1.3843,1.2092,3223815.3448,2004996.4435
20230223,25.6844,5.1216,1.4122,1.3686,3288742.5349,2045376.7914
20230224,25.5224,5.0893,1.4033,0.813,3268001.9047,2032477.5136
20230227,23.8899,4.6534,1.0784,0.9632,3250868.3407,2021821.5884
20230228,23.8999,4.6553,1.0788,0.7607,3252220.9904,2022662.8457
20230301,24.0059,4.676,1.0836,0.7952,3266649.2549,2031636.2563
20230302,23.3863,4.5553,1.0556,1.1957,3182334.0844,1979197.8878
20230303,23.045,4.4888,1.0402,1.4224,3135893.1081,1950314.7223
20230306,23.3929,4.5566,1.0559,1.3886,3183235.8509,1979758.726
20230307,23.0019,4.4804,1.0383,0.8512,3130031.6256,1946669.2742
20230308,22.6076,4.4036,1.0205,1.0679,3076376.5171,1913299.4033
20230309,22.432,4.3694,1.0126,1.1124,3052479.7041,1898437.1919
20230310,23.3929,4.5566,1.0559,2.8058,3183235.8509,1979758.726
20230313,22.6507,4.412,1.0224,2.0347,3082237.9995,1916944.8514
20230314,23.8336,4.6424,1.0758,3.1036,3243203.3251,2017054.464
20230315,23.658,4.6082,1.0679,2.0457,3219306.5121,2002192.2526
20230316,23.0914,4.4978,1.0423,1.8809,3142205.4738,1954240.5894
20230317,23.9827,4.6715,1.0826,2.6786,3263493.0721,2029673.3228
20230320,24.0722,4.6889,1.0866,2.1148,3275666.9202,2037244.638
20230321,24.1815,4.7102,1.0915,1.9313,3290546.068,2046498.4677
20230322,24.8045,4.8315,1.1196,2.5238,3375312.1218,2099217.2553
20230323,24.3207,4.7373,1.0978,1.7508,3309483.1651,2058276.0692
20230324,24.0324,4.6811,1.0848,1.4731,3270256.321,2033879.609
20230327,23.6149,4.5998,1.0659,1.7216,3213445.0297,1998546.8045
20230328,23.0285,4.4856,1.0395,1.5523,3133638.6918,1948912.6269
20230329,22.637,4.3983,1.0169,1.8293,3063300.9024,1905167.2499
20230330,22.7069,4.4119,1.0201,1.3356,3072769.451,1911056.0506
20230331,22.7902,4.4281,1.0238,1.5434,3084041.5326,1918066.5277
20230403,23.7798,4.6204,1.0683,2.5245,3217953.8623,2001350.9954
20230404,23.0634,4.4812,1.0361,2.1384,3121013.9603,1941060.8925
20230406,23.7598,4.6165,1.0674,1.8337,3215248.5627,1999668.4809
20230407,23.5899,4.5835,1.0597,1.68,3192253.5162,1985367.1076
20230410,24.0164,4.6664,1.0789,1.7529,3249966.5741,2021260.7503
20230411,23.7731,4.6191,1.068,1.2502,3217052.0958,2000790.1572
20230412,23.3567,4.5382,1.0493,1.2733,3160691.6877,1965737.7718
20230413,22.9402,4.4573,1.0306,1.1891,3104331.2795,1930685.3865
20230414,23.7565,4.6159,1.0672,3.0365,3214797.6795,1999388.0618
20230417,23.8464,4.6333,1.0713,1.9065,3226971.5276,2006959.377
20230418,23.7298,4.6107,1.066,2.317,3211190.6133,1997144.7091
20230419,23.1834,4.5045,1.0415,1.7024,3137245.7579,1951155.9795
20230420,22.4604,4.364,1.009,2.595,3039404.0894,1890305.0385
20230421,22.0639,4.184,0.9082,2.3403,3026328.4747,1882172.8851
20230424,21.3341,4.0456,0.8781,1.8339,2926232.3899,1819919.8487
20230425,20.394,3.8673,0.8395,2.6484,2797279.7761,1739719.9909
20230426,21.2716,4.0338,0.8756,2.6229,2917665.6078,1814591.8861
20230427,21.8929,4.1516,0.9012,2.0087,3002882.5449,1867591.0928
20230428,21.8597,4.1453,0.8998,1.509,2998319.1336,1864226.0638
20230504,21.9978,4.1715,0.9055,1.1218,3017261.583,1876003.6653
20230505,21.8695,4.1445,0.9002,1.0629,2999672.1657,1865914.8912
20230508,21.9123,4.1526,0.9019,1.1362,3005535.3048,1869561.996
20230509,21.2678,4.0305,0.8754,1.106,2917137.2076,1814574.8784
20230510,21.4618,4.0672,0.8834,1.3093,2943746.8389,1831127.123
20230511,21.8597,4.1426,0.8998,1.1118,2998319.1336,1865073.2517
20230512,21.6361,4.1003,0.8906,1.1567,2967650.406,1845996.0884
20230515,22.0602,4.1806,0.908,1.5274,3025830.7863,1882186.5893
20230516,21.7084,4.114,0.8936,1.1158,2977572.6414,1852168.1118
20230517,21.4059,4.0566,0.8811,0.9939,2936079.657,1826357.8322
20230518,20.745,4.0068,0.8539,1.1885,2845426.5063,1769967.9821
20230519,20.5773,3.9744,0.847,0.8539,2822424.9606,1755660.1096
20230522,20.7483,4.0074,0.854,1.2855,2845877.517,1770248.5286
