ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
002415.SZ,20220416,20220331,0.247,3.5305,43.7222,14.6228,18.1091,5.2887
002415.SZ,20220416,20220331,0.247,3.5305,43.7222,14.6228,18.1091,5.2887
002415.SZ,20220813,20220630,0.608,9.1799,43.1445,16.475,9.8974,-11.1421
002415.SZ,20220813,20220630,0.608,9.1799,43.1445,16.475,9.8974,-11.1421
002415.SZ,20221029,20220930,0.938,13.7303,42.3517,15.6952,7.3563,-19.3822
002415.SZ,20221029,20220930,0.938,13.7303,42.3517,15.6952,7.3563,-19.3822
002415.SZ,20230415,20221231,1.37,19.4726,42.2888,16.301,2.1448,-23.5891
002415.SZ,20230415,20221231,1.37,19.4726,42.2888,16.301,2.1448,-23.5891
002415.SZ,20230415,20230331,0.196,2.6097,45.1653,12.0252,-1.939,-20.6896
002415.SZ,20230415,20230331,0.196,2.6097,45.1653,12.0252,-1.939,-20.6896
002415.SZ,20230819,20230630,0.568,7.8428,45.1847,15.3215,0.8408,-7.3072
002415.SZ,20231021,20230930,0.949,12.6534,44.8514,15.5009,2.6015,0.1195
002415.SZ,20240420,20231231,1.52,19.4933,44.4402,16.9641,7.4231,9.8921
002415.SZ,20240420,20240331,0.208,2.4747,45.7567,12.4713,9.9768,5.7776
002415.SZ,20240817,20240630,0.539,6.7474,45.0517,13.6879,9.6822,-5.1297
002415.SZ,20241026,20240930,0.878,10.5858,44.757,13.7061,6.0635,-8.4001
002415.SZ,20250419,20241231,1.297,15.2555,43.8309,14.2072,3.5307,-15.1009
002415.SZ,20250419,20250331,0.221,2.5088,44.9235,12.0382,4.009,6.4144
002415.SZ,20250802,20250630,0.615,7.1063,45.1923,15.021,1.4777,11.7144
