ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
688169.SH,20220422,20220331,5.13,3.9565,47.4866,25.217,22.3008,8.7614
688169.SH,20220422,20220331,5.13,3.9565,47.4866,25.217,22.3008,8.7614
688169.SH,20220830,20220630,6.59,7.0785,48.2046,21.0916,24.4889,-5.3995
688169.SH,20220830,20220630,6.59,7.0785,48.2046,21.0916,24.4889,-5.3995
688169.SH,20221031,20220930,9.14,9.6693,48.5226,19.4657,14.7764,-15.8493
688169.SH,20221031,20220930,9.14,9.6693,48.5226,19.4657,14.7764,-15.8493
688169.SH,20230427,20221231,12.66,13.1148,49.2622,17.8536,13.5628,-15.6152
688169.SH,20230427,20221231,12.66,13.1148,49.2622,17.8536,13.5628,-15.6152
688169.SH,20230427,20230331,2.18,2.1116,49.8479,17.6076,-14.6768,-40.4237
688169.SH,20230427,20230331,2.18,2.1116,49.8479,17.6076,-14.6768,-40.4237
688169.SH,20230831,20230630,5.65,7.5026,51.0713,21.9171,15.4092,19.9291
688169.SH,20230831,20230630,5.65,7.5026,51.0713,21.9171,15.4092,19.9291
688169.SH,20231028,20230930,10.38,13.4428,54.3442,23.9136,29.5078,59.1032
688169.SH,20231028,20230930,10.38,13.4428,54.3442,23.9136,29.5078,59.1032
688169.SH,20240329,20231231,15.66,19.5943,55.1346,23.703,30.5499,73.3213
688169.SH,20240427,20240331,3.05,3.4426,56.4944,21.6618,58.6855,95.2251
688169.SH,20240830,20240630,6.12,9.618,53.8112,25.3794,30.897,51.5725
688169.SH,20241031,20240930,8.03,12.4334,53.8625,21.0116,23.1688,8.2207
688169.SH,20250404,20241231,10.77,16.3017,50.1395,16.5474,38.0287,-3.6395
688169.SH,20250404,20241231,10.77,16.3017,50.1395,16.5474,38.0287,-3.6395
688169.SH,20250430,20250331,1.46,2.0566,45.476,7.8024,86.2199,-32.9196
688169.SH,20250816,20250630,2.63,5.1633,44.5601,8.5724,78.9638,-39.5493
