signal_date,ts_code,score,rank,n_stocks,train_end,target
20240701,300012.SZ,0.0072671188,1,16,20240529,excess_vs_000300.SH
20240701,600418.SH,0.0072276526,2,16,20240529,excess_vs_000300.SH
20240701,002371.SZ,0.0047368255,3,16,20240529,excess_vs_000300.SH
20240701,002415.SZ,0.0047368255,4,16,20240529,excess_vs_000300.SH
20240701,601233.SH,0.0047368255,5,16,20240529,excess_vs_000300.SH
20240701,601899.SH,0.0047368255,6,16,20240529,excess_vs_000300.SH
20240701,688169.SH,0.0047368255,7,16,20240529,excess_vs_000300.SH
20240701,688981.SH,0.0046601642,8,16,20240529,excess_vs_000300.SH
20240701,002507.SZ,0.0028238895,9,16,20240529,excess_vs_000300.SH
20240701,601021.SH,0.0028238895,10,16,20240529,excess_vs_000300.SH
20240701,603259.SH,0.0028238895,11,16,20240529,excess_vs_000300.SH
20240701,002508.SZ,0.0016781774,12,16,20240529,excess_vs_000300.SH
20240701,300476.SZ,0.0012692117,13,16,20240529,excess_vs_000300.SH
20240701,601155.SH,0.0008247514,14,16,20240529,excess_vs_000300.SH
20240701,603345.SH,0.0008247514,15,16,20240529,excess_vs_000300.SH
20240701,688005.SH,0.0008247514,16,16,20240529,excess_vs_000300.SH
20240801,002371.SZ,0.022638083,1,16,20240702,excess_vs_000300.SH
20240801,002415.SZ,0.0194165365,2,16,20240702,excess_vs_000300.SH
20240801,002507.SZ,0.0187580255,3,16,20240702,excess_vs_000300.SH
20240801,002508.SZ,0.0177435454,4,16,20240702,excess_vs_000300.SH
20240801,688981.SH,0.0094701711,5,16,20240702,excess_vs_000300.SH
20240801,688005.SH,0.0075470326,6,16,20240702,excess_vs_000300.SH
20240801,601021.SH,0.0068376775,7,16,20240702,excess_vs_000300.SH
20240801,601155.SH,0.0066534857,8,16,20240702,excess_vs_000300.SH
20240801,603259.SH,0.0066534857,9,16,20240702,excess_vs_000300.SH
20240801,688169.SH,0.0028220364,10,16,20240702,excess_vs_000300.SH
20240801,600418.SH,0.000406136,11,16,20240702,excess_vs_000300.SH
20240801,601899.SH,-0.0007350124,12,16,20240702,excess_vs_000300.SH
20240801,300476.SZ,-0.0024181376,13,16,20240702,excess_vs_000300.SH
20240801,300012.SZ,-0.0088957316,14,16,20240702,excess_vs_000300.SH
20240801,601233.SH,-0.0108620074,15,16,20240702,excess_vs_000300.SH
20240801,603345.SH,-0.0201108966,16,16,20240702,excess_vs_000300.SH
20240902,002415.SZ,0.0088554245,1,16,20240801,excess_vs_000300.SH
20240902,002507.SZ,0.0086422302,2,16,20240801,excess_vs_000300.SH
20240902,601233.SH,0.0084595358,3,16,20240801,excess_vs_000300.SH
20240902,600418.SH,0.0055251476,4,16,20240801,excess_vs_000300.SH
20240902,002371.SZ,0.0055014129,5,16,20240801,excess_vs_000300.SH
20240902,601899.SH,0.0055014129,6,16,20240801,excess_vs_000300.SH
