entry_date,month,ts_code,qlib_code,score,rank,n_stocks
20240701,2024-07,600418.SH,SH600418,0.2436,1,16
20240701,2024-07,603259.SH,SH603259,0.096557,2,16
20240701,2024-07,688005.SH,SH688005,0.096557,3,16
20240701,2024-07,002415.SZ,SZ002415,0.092073,4,16
20240701,2024-07,601155.SH,SH601155,0.050583,5,16
20240701,2024-07,601899.SH,SH601899,0.03955,6,16
20240701,2024-07,002371.SZ,SZ002371,0.018571,7,16
20240701,2024-07,601233.SH,SH601233,0.018571,8,16
20240701,2024-07,688981.SH,SH688981,0.012891,9,16
20240701,2024-07,002507.SZ,SZ002507,0.006907,10,16
20240701,2024-07,300012.SZ,SZ300012,-0.003754,11,16
20240701,2024-07,601021.SH,SH601021,-0.053831,12,16
20240701,2024-07,603345.SH,SH603345,-0.059483,13,16
20240701,2024-07,688169.SH,SH688169,-0.077376,14,16
20240701,2024-07,002508.SZ,SZ002508,-0.134472,15,16
20240701,2024-07,300476.SZ,SZ300476,-0.230725,16,16
20240801,2024-08,601021.SH,SH601021,0.246435,1,16
20240801,2024-08,002507.SZ,SZ002507,0.190652,2,16
20240801,2024-08,688981.SH,SH688981,0.178144,3,16
20240801,2024-08,603259.SH,SH603259,0.166796,4,16
20240801,2024-08,002371.SZ,SZ002371,0.162774,5,16
20240801,2024-08,002508.SZ,SZ002508,0.13333,6,16
20240801,2024-08,601155.SH,SH601155,0.082535,7,16
20240801,2024-08,002415.SZ,SZ002415,0.061732,8,16
20240801,2024-08,300476.SZ,SZ300476,0.005526,9,16
20240801,2024-08,600418.SH,SH600418,-0.004357,10,16
20240801,2024-08,601899.SH,SH601899,-0.017344,11,16
20240801,2024-08,688005.SH,SH688005,-0.018772,12,16
20240801,2024-08,688169.SH,SH688169,-0.065452,13,16
20240801,2024-08,601233.SH,SH601233,-0.08556,14,16
20240801,2024-08,300012.SZ,SZ300012,-0.297202,15,16
20240801,2024-08,603345.SH,SH603345,-0.443535,16,16
20240902,2024-09,002507.SZ,SZ002507,0.042539,1,16
20240902,2024-09,688005.SH,SH688005,0.034669,2,16
20240902,2024-09,601899.SH,SH601899,0.032184,3,16
20240902,2024-09,601233.SH,SH601233,0.032184,4,16
20240902,2024-09,601155.SH,SH601155,0.014355,5,16
20240902,2024-09,002371.SZ,SZ002371,0.009157,6,16
20240902,2024-09,603259.SH,SH603259,-0.00152,7,16
20240902,2024-09,600418.SH,SH600418,-0.00247,8,16
20240902,2024-09,002415.SZ,SZ002415,-0.002687,9,16
20240902,2024-09,688981.SH,SH688981,-0.002691,10,16
20240902,2024-09,601021.SH,SH601021,-0.01804,11,16
20240902,2024-09,603345.SH,SH603345,-0.019551,12,16
20240902,2024-09,300476.SZ,SZ300476,-0.019551,13,16
20240902,2024-09,688169.SH,SH688169,-0.042942,14,16
20240902,2024-09,002508.SZ,SZ002508,-0.044931,15,16
20240902,2024-09,300012.SZ,SZ300012,-0.044931,16,16
20241008,2024-10,601233.SH,SH601233,0.062188,1,16
20241008,2024-10,601899.SH,SH601899,0.033427,2,16
20241008,2024-10,002507.SZ,SZ002507,0.010591,3,16
20241008,2024-10,002415.SZ,SZ002415,-0.005957,4,16
20241008,2024-10,002508.SZ,SZ002508,-0.005957,5,16
20241008,2024-10,601021.SH,SH601021,-0.012063,6,16
20241008,2024-10,688005.SH,SH688005,-0.019203,7,16
20241008,2024-10,603345.SH,SH603345,-0.019203,8,16
20241008,2024-10,002371.SZ,SZ002371,-0.021401,9,16
20241008,2024-10,603259.SH,SH603259,-0.035751,10,16
20241008,2024-10,600418.SH,SH600418,-0.035751,11,16
20241008,2024-10,601155.SH,SH601155,-0.035751,12,16
20241008,2024-10,300012.SZ,SZ300012,-0.035751,13,16
20241008,2024-10,688981.SH,SH688981,-0.035751,14,16
20241008,2024-10,300476.SZ,SZ300476,-0.035751,15,16
20241008,2024-10,688169.SH,SH688169,-0.051194,16,16
20241101,2024-11,300012.SZ,SZ300012,0.096843,1,16
20241101,2024-11,688981.SH,SH688981,0.043523,2,16
20241101,2024-11,002508.SZ,SZ002508,0.00788,3,16
20241101,2024-11,601233.SH,SH601233,-0.001429,4,16
20241101,2024-11,002371.SZ,SZ002371,-0.001429,5,16
20241101,2024-11,688005.SH,SH688005,-0.001429,6,16
20241101,2024-11,603345.SH,SH603345,-0.001429,7,16
20241101,2024-11,002415.SZ,SZ002415,-0.001429,8,16
20241101,2024-11,600418.SH,SH600418,-0.01952,9,16
20241101,2024-11,601155.SH,SH601155,-0.01952,10,16
20241101,2024-11,601021.SH,SH601021,-0.021046,11,16
20241101,2024-11,603259.SH,SH603259,-0.021046,12,16
